@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R1-3,5'

@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {defective,clean}

@data
73,1,319,22,7,73,0,clean
1032,5,358,647,155,21,69,clean
8532,1,258,535,0,108,79,defective
34225,1,358,1977,444,185,185,clean
7,1,259,86,14,1,7,clean
11,1,258,539,0,11,0,clean
11,1,258,539,0,11,0,clean
11,1,258,539,0,11,0,clean
8,2,299,343,106,2,5,clean
171,1,1742,89,0,171,0,clean
1678,21,358,459,101,95,67,defective
777,7,299,396,110,126,109,defective
27,6,1742,119,49,24,15,defective
208,7,319,210,34,76,46,defective
719,21,258,313,67,61,33,defective
510,2,259,352,93,264,255,defective
4,6,358,269,77,22,35,defective
6,5,299,510,25,6,4,clean
190,1,1742,539,0,10,19,clean
1,2,319,485,142,2,21,clean
696,7,258,254,45,74,45,defective
3,1,259,502,138,3,0,clean
382,4,358,210,44,12,9,defective
105,3,299,257,67,19,14,defective
2365,4,258,234,25,136,61,defective
16,3,259,341,86,177,171,defective
21,1,299,343,105,3,7,clean
110,1,1742,93,0,11,10,clean
5,7,319,201,43,22,3,defective
454,1,258,273,66,454,0,defective
31759,1,358,1410,321,349,91,clean
27,4,358,243,21,70,2,defective
257,10,299,385,88,162,112,defective
180,3,1742,61,9,7,68,clean
27,7,319,206,40,16,8,defective
2665,13,258,814,106,249,39,defective
510,2,259,352,93,264,255,defective
1,1,259,123,0,1,1,clean
1947,1,299,500,122,1947,0,clean
76,2,358,118,33,130,12,defective
18,2,1742,120,50,6,11,defective
81,1,258,190,40,9,9,defective
3,7,258,173,34,34,19,defective
86,1,1742,34,0,86,0,clean
100,1,358,212,45,2,50,clean
12,6,299,70,12,16,0,clean
18,3,1742,252,46,39,1,clean
1,4,258,107,18,1,2,clean
189,18,358,370,97,71,76,defective
9666,1,299,663,173,179,54,defective
51,5,1742,389,114,20,11,defective
208,3,319,165,33,174,106,defective
102,8,258,277,65,36,24,defective
510,2,259,352,93,264,255,defective
1649,1,1742,359,0,1649,0,clean
492,1,358,633,177,4,123,clean
4,1,299,632,178,2,2,defective
164,1,319,241,91,4,41,clean
2500,2,258,436,135,100,98,defective
107,1,1742,0,0,107,0,clean
21,1,299,343,105,3,7,clean
20128,2,258,344,113,148,136,defective
185,1,1742,57,8,185,0,clean
4416,1,358,134,26,184,24,defective
12,1,1742,135,49,0,12,clean
608,1,258,133,49,38,16,defective
219,6,358,582,113,153,197,defective
6830,3,258,488,128,72,71,defective
1066,6,358,348,82,243,189,defective
728,3,299,182,45,26,28,clean
322,1,1742,169,41,322,0,defective
208,12,319,200,44,112,33,defective
1,2,258,249,58,1,1,clean
13,11,358,253,54,29,17,defective
87,11,299,327,85,76,67,defective
44,11,1742,500,136,25,9,defective
203,15,258,234,65,54,32,defective
12,7,259,296,78,78,75,defective
51,3,299,666,176,8,3,clean
209,1,258,116,29,209,0,clean
510,2,259,352,93,264,255,defective
76,2,258,446,111,69,0,defective
35,6,299,484,122,6,3,defective
209,1,258,116,29,209,0,clean
510,2,259,352,93,264,255,defective
1424,1,1742,313,0,1424,0,clean
56,2,1742,1962,0,5331,0,clean
942,23,258,851,101,200,35,defective
107,1,1742,0,0,107,0,clean
1947,1,299,500,122,1947,0,clean
4,6,299,164,30,2,2,clean
1,1,299,250,68,1,1,clean
648,1,358,405,91,36,18,clean
18,3,358,266,70,11,13,clean
49770,1,299,245,86,315,158,defective
107,1,1742,0,0,107,0,clean
58,13,358,242,39,57,58,clean
42,20,299,859,172,1198,0,defective
5,13,1742,353,28,137,92,defective
193,10,319,195,35,46,22,defective
11,3,258,11,0,2,9,clean
16,12,259,235,38,200,1,defective
42,15,358,2088,432,15,7,defective
24,2,299,1267,299,7,5,clean
4,1,1742,216,27,4,1,clean
67,3,259,1048,266,26,11,clean
57,10,358,601,143,22,14,clean
13,13,299,373,56,232,122,defective
266,12,1742,1955,596,3905,72,defective
34,5,319,512,62,26,4,defective
123,10,258,465,139,20,12,clean
4,1,259,2239,592,4,0,clean
6,1,299,671,124,3,2,clean
5,2,259,557,110,1,6,clean
806,1,1742,478,144,806,0,defective
1947,1,299,500,122,1947,0,clean
244,1,299,14,0,2,122,clean
20525,1,1742,5808,0,20525,0,clean
4,1,259,179,39,2,2,clean
244,2,299,14,0,2,122,clean
4,1,358,77,2,4,0,clean
8420,1,258,3240,763,421,20,defective
24,1,358,175,0,6,4,clean
11,1,299,40,0,0,11,clean
3,2,258,44,0,0,1,clean
66,2,259,8,0,68,0,clean
12,1,299,863,208,12,0,clean
8520,1,299,604,121,142,60,clean
1947,1,299,500,122,1947,0,clean
15,2,299,958,286,17,0,defective
23,2,1742,1151,190,15,0,clean
4,1,319,218,21,2,2,clean
107,1,1742,0,0,107,0,clean
37,2,319,1457,252,68,190,clean
1851,1,1742,0,0,0,1851,clean
78,1,1742,20,6,78,0,defective
578,6,1742,350,51,254,324,defective
10318,3,1742,208,34,182,624,defective
578,6,1742,350,51,254,324,defective
78,1,1742,20,6,78,0,defective
578,6,1742,156,19,156,8,defective
42,2,299,336,44,12,1,clean
31320,3,1742,232,32,75,78,defective
38,1,1742,0,0,38,0,clean
192,1,1742,174,54,6,32,clean
2759,2,299,736,8,1570,0,defective
2759,2,299,736,8,1570,0,defective
337,1,299,0,0,0,337,clean
2759,2,299,586,0,1379,656,defective
2759,2,299,586,0,1379,656,defective
20,2,299,15,3,10,2,clean
38,1,259,22,0,19,2,clean
4,1,1742,183,2,0,4,clean
288,14,319,914,168,220,290,defective
735124,1,319,561,104,871,844,clean
368,3,319,762,150,88,476,clean
288,11,319,806,151,224,320,defective
735124,1,319,561,104,871,844,clean
1681,1,259,718,138,41,41,clean
288,10,319,832,157,250,348,clean
735124,1,319,561,104,871,844,clean
288,8,319,872,164,311,434,clean
735124,1,319,561,104,871,844,clean
288,9,319,880,166,283,391,defective
735124,1,319,561,104,871,844,clean
62,11,319,1197,208,123,161,clean
14,1,358,113,0,14,0,clean
1187,1,258,949,193,1187,0,defective
1187,1,258,949,193,1187,0,defective
238,1,358,43,0,17,14,clean
2295,1,358,98,10,51,45,clean
2295,1,358,98,10,51,45,clean
4664,1,319,1840,382,44,106,defective
16,1,299,428,95,4,4,clean
4,3,358,1482,327,18,18,clean
54,1,299,852,223,9,6,clean
21,8,358,1423,367,14,22,defective
147,34,299,567,128,33,10,defective
28,5,1742,410,70,12,4,clean
34,2,319,749,185,2,195,clean
556,5,258,717,163,178,113,clean
1,7,259,1246,242,14,10,defective
2916,1,1742,492,82,54,54,clean
2732,3,258,5001,379,154,19,defective
1,1,299,250,68,1,1,clean
1,1,358,717,178,1,1,clean
40,2,319,2051,424,42,1,clean
47670,1,358,2550,567,210,227,defective
3,2,319,2634,591,2,0,clean
33,1,358,717,178,11,3,clean
276,2,299,765,189,48,9,clean
774,1,299,764,189,86,9,clean
537,1,299,949,220,537,0,clean
1501,3,1742,592,115,503,0,defective
8,2,259,456,93,45,36,defective
169,1,1742,2410,516,13,13,clean
451,1,319,5603,1114,11,41,clean
38,2,319,448,122,54,0,clean
43,1,258,533,147,43,0,clean
1,3,358,282,63,5,0,clean
17280,2,299,408,96,273,73,clean
1501,2,1742,896,180,758,0,clean
172860,1,319,2052,404,1005,172,defective
768,2,258,695,142,384,0,clean
5,1,259,556,133,5,0,clean
1187,1,258,949,193,1187,0,defective
43,2,258,343,76,25,2,clean
144,1,358,2143,555,18,8,defective
154,1,299,2218,568,22,7,defective
2079,1,258,1711,421,99,21,defective
386,1,258,247,45,386,0,clean
31759,1,358,1410,321,349,91,clean
21,15,259,322,0,2,5,clean
68,1,259,39,0,17,4,clean
11562,1,299,284,48,82,141,clean
261057,1,358,865,102,503,519,clean
177,2,1742,51,6,88,592,defective
277,4,259,484,94,661,0,defective
36,2,358,969,222,6,10,clean
1,1,299,3419,942,1,1,defective
1,1,319,2994,842,1,0,defective
736,1,259,4053,1112,32,23,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
1248,1,358,499,190,48,26,clean
231,1,358,273,60,21,11,clean
3053,1,358,242,96,71,43,defective
227,1,358,120,34,227,0,defective
7878,1,358,485,149,101,78,clean
7878,1,358,485,149,101,78,clean
648,1,358,405,91,36,18,clean
38,1,358,8,0,19,2,clean
