@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R2,5'

@attribute comm numeric
@attribute ddev numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
4,10,102,8,192,277,65,36,24,defective
1,11,510,2,177,352,93,264,255,defective
1,1,492,1,213,633,177,4,123,clean
1,2,4,1,223,632,178,2,2,clean
1,3,164,1,186,241,91,4,41,clean
1,4,2500,2,192,436,135,100,98,defective
1,1,4416,1,213,134,26,184,24,defective
1,2,12,1,1577,135,49,0,12,clean
1,3,608,1,192,133,49,38,16,defective
5,2,219,6,213,582,113,153,197,defective
2,4,6830,3,192,488,128,72,71,defective
4,1,1066,6,213,348,82,243,189,defective
1,2,728,3,223,182,45,26,28,clean
1,3,322,1,1577,169,41,322,0,defective
7,4,208,12,186,200,44,112,33,defective
1,5,1,2,192,249,58,1,1,clean
6,2,13,11,213,253,54,29,17,defective
7,5,87,11,223,327,85,76,67,defective
8,7,44,11,1577,500,136,25,9,defective
5,10,203,15,192,234,65,54,32,defective
6,12,12,7,177,296,78,78,75,defective
1,1,648,1,213,405,91,36,18,clean
1,1,18,3,213,266,70,11,13,clean
11,5,58,13,213,242,39,57,58,defective
9,8,42,20,223,859,172,1198,0,defective
9,12,5,13,1577,353,28,137,92,clean
5,14,193,10,186,195,35,46,22,defective
3,16,11,3,192,11,0,2,9,clean
6,20,16,12,177,235,38,200,1,defective
12,4,42,15,213,2088,432,15,7,defective
1,5,24,2,223,1267,299,7,5,clean
1,6,4,1,1577,216,27,4,1,clean
3,8,67,3,177,1048,266,26,11,defective
6,4,57,10,213,601,143,22,14,defective
4,7,13,13,223,373,56,232,122,defective
6,10,266,12,1577,1955,596,3905,72,defective
5,12,34,5,186,512,62,26,4,defective
6,14,123,10,192,465,139,20,12,defective
1,15,4,1,177,2239,592,4,0,clean
1,1,4,1,213,77,2,4,0,clean
1,1,24,1,213,175,0,6,4,clean
1,2,11,1,223,40,0,0,11,clean
2,3,3,2,192,44,0,0,1,clean
2,4,66,2,177,8,0,68,0,clean
1,1,14,1,213,113,0,14,0,clean
1,1,238,1,213,43,0,17,14,clean
1,1,2295,1,213,98,10,51,45,clean
1,1,2295,1,213,98,10,51,45,clean
2,1,4,3,213,1482,327,18,18,defective
1,2,54,1,223,852,223,9,6,clean
8,4,21,8,213,1423,367,14,22,defective
20,6,147,34,223,567,128,33,10,defective
5,8,28,5,1577,410,70,12,4,clean
2,10,34,2,186,749,185,2,195,clean
4,13,556,5,192,717,163,178,113,defective
5,14,1,7,177,1246,242,14,10,defective
1,1,1,1,213,717,178,1,1,clean
1,1,47670,1,213,2550,567,210,227,defective
2,2,3,2,186,2634,591,2,0,clean
1,1,33,1,213,717,178,11,3,clean
2,3,276,2,223,765,189,48,9,defective
3,1,1,3,213,282,63,5,0,clean
2,2,17280,2,223,408,96,273,73,defective
2,3,1501,2,1577,896,180,758,0,defective
1,4,172860,1,186,2052,404,1005,172,defective
2,5,768,2,192,695,142,384,0,clean
1,6,5,1,177,556,133,5,0,clean
1,1,144,1,213,2143,555,18,8,clean
1,2,154,1,223,2218,568,22,7,defective
1,1,31759,1,213,1410,321,349,91,clean
1,1,261057,1,213,865,102,503,519,clean
1,2,177,2,1577,51,6,88,592,defective
2,1,36,2,213,969,222,6,10,clean
1,2,1,1,223,3419,942,1,1,defective
1,3,1,1,186,2994,842,1,0,clean
1,4,736,1,177,4053,1112,32,23,clean
1,1,1248,1,213,499,190,48,26,clean
1,1,231,1,213,273,60,21,11,clean
1,1,3053,1,213,242,96,71,43,clean
1,1,227,1,213,120,34,227,0,clean
1,1,7878,1,213,485,149,101,78,clean
1,1,7878,1,213,485,149,101,78,clean
1,1,648,1,213,405,91,36,18,clean
1,1,38,1,213,8,0,19,2,clean
1,1,7705,2,213,172,6,65,35,clean
1,1,1470,1,213,261,55,35,42,clean
1,1,5720,1,213,311,111,104,55,clean
1,1,2,1,213,22,0,2,0,clean
1,1,551,1,213,145,8,29,19,clean
1,1,551,1,213,145,8,29,19,clean
1,1,551,1,213,145,8,29,19,clean
1,1,1288,4,213,358,50,68,65,clean
1,1,49,1,213,1202,284,7,7,clean
1,2,24,1,186,1212,289,12,2,clean
1,1,55,1,213,1202,286,11,5,clean
2,2,168,3,213,340,92,29,26,clean
2,4,12,2,223,43,0,15,2,clean
1,5,73,1,186,22,7,73,0,clean
1,1,40,1,213,98,49,10,4,clean
1,1,870,1,213,6,0,30,29,clean
1,1,10,2,213,190,42,7,1,clean
1,1,31759,2,213,748,168,175,46,clean
1,1,1,1,213,17,0,1,1,clean
1,2,40,1,186,25,0,40,1,clean
1,1,2,1,213,813,134,2,0,clean
2,1,64,2,213,2353,482,267,0,defective
1,1,36,1,213,960,205,9,4,clean
4,3,26,4,223,233,21,20,6,defective
1,4,190,1,1577,539,0,10,19,clean
2,6,142,2,186,709,193,38,35,clean
1,7,1,1,192,1107,314,0,1,clean
3,9,10,3,177,900,226,629,218,defective
1,1,112,1,213,2,0,16,7,clean
1,2,625,1,1577,2,0,25,25,clean
1,1,12,1,213,4,0,3,4,clean
1,1,390,1,213,788,225,13,30,clean
1,1,550,1,213,104,23,11,50,clean
2,2,16,2,213,501,152,8,3,clean
1,3,11,1,223,907,286,0,11,clean
1,4,18,1,1577,926,292,18,0,defective
1,5,918,1,192,336,69,51,18,defective
6,2,1611,7,213,554,132,155,163,defective
1,3,3721,1,223,712,168,61,61,defective
2,5,175,3,192,122,35,32,75,clean
1,1,12,1,213,176,45,12,0,clean
1,2,49770,2,223,291,127,451,79,defective
1,3,6,4,186,229,52,6,0,clean
1,4,446,1,192,284,72,446,0,defective
1,5,9,2,177,262,63,3,3,clean
1,1,25,1,213,369,104,5,5,defective
1,2,480,1,223,366,104,15,32,clean
2,1,1,4,213,117,28,6,2,defective
1,2,27,2,223,203,52,12,17,clean
1,3,870,1,1577,94,3,10,87,clean
1,1,30,1,213,346,110,3,10,clean
1,1,18,3,213,266,70,11,13,clean
1,1,5,1,213,188,49,5,1,clean
1,1,24,1,213,642,147,12,2,clean
2,2,2,2,213,420,94,2,1,clean
3,4,2,3,223,527,87,2,0,clean
1,5,8100,1,186,101,2,90,90,clean
1,6,3,1,192,572,118,3,1,clean
2,2,2,3,213,283,58,0,6,clean
1,3,125,4,223,372,55,217,142,defective
3,4,71,3,186,348,66,43,2,defective
1,5,21,1,177,283,64,7,3,clean
1,1,24,1,213,642,147,12,2,clean
1,1,1850,1,213,1026,134,1850,0,clean
1,1,20520,1,213,315,41,190,108,clean
2,1,304,2,213,844,0,10,11,clean
1,2,1,1,223,846,0,1,1,clean
1,3,35,1,1577,846,0,5,7,clean
3,4,1,3,186,846,0,2,2,clean
3,6,4,3,177,846,0,2,3,clean
1,1,1248,1,213,499,190,48,26,clean
1,1,111,1,213,32,0,111,0,clean
1,1,1248,1,213,499,190,48,26,clean
1,1,188,3,213,28,3,72,2,clean
1,1,1260,1,213,283,17,30,42,clean
1,1,14,1,213,14,0,14,1,clean
1,1,289,12,213,335,74,125,48,clean
1,1,227,1,213,120,34,227,0,clean
1,1,15,1,213,25,0,0,15,clean
1,1,20520,1,213,315,41,190,108,clean
1,1,31759,1,213,1410,321,349,91,clean
1,1,31759,1,213,1410,321,349,91,clean
1,1,38,1,213,10,0,0,38,clean
1,1,38,1,213,10,0,0,38,clean
1,1,38,1,213,10,0,0,38,clean
1,1,38,1,213,10,0,0,38,clean
1,1,38,1,213,10,0,0,38,clean
1,1,38,1,213,10,0,0,38,clean
1,1,38,1,213,10,0,0,38,clean
1,1,38,1,213,10,0,0,38,clean
1,1,38,1,213,10,0,0,38,clean
1,1,8,2,213,1374,283,2,1,clean
5,3,3,14,186,940,178,17,1,clean
2,4,6,3,177,733,103,400,0,defective
1,1,36,2,213,313,37,27,1,clean
2,2,3,2,223,430,77,10,11,defective
9,4,59,9,213,645,152,14,34,defective
6,8,10,7,223,692,147,6,2,clean
11,14,37,20,1577,685,179,144,6,defective
7,18,57,7,186,813,217,24,4,defective
14,23,281,15,192,658,175,77,24,defective
14,28,16,18,177,930,216,154,60,defective
1,1,7,1,213,3,0,1,7,clean
1,1,40,1,213,98,49,10,4,clean
1,1,40,1,213,98,49,10,4,clean
2,2,10607,2,1577,2097,27,5307,1,defective
1,1,37,1,213,3008,714,37,0,defective
1,2,190992,1,223,3323,758,692,276,defective
4,5,8781,4,186,3865,884,174,110,defective
2,6,651,2,192,4035,917,188,91,defective
1,7,324384,1,177,3951,853,496,654,defective
1,1,14,1,213,2987,241,7,2,clean
1,2,760,1,186,3612,216,40,19,clean
