@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R3,5,7,11'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute modd numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
1,1,11663,1,96,0,107,clean
1,1,1172296,2,768,110,2318,clean
1,1,1172296,2,768,110,2318,clean
1,1,1172296,2,768,110,2318,clean
1,1,1172296,2,768,110,2318,clean
1,1,1172296,2,768,110,2318,clean
1,1,1172296,2,768,110,2318,clean
1,1,1172296,2,768,110,2318,clean
1,1,18,1,44,0,6,clean
1,1,88,1,46,0,11,clean
2,2,4659,2,510,102,247,clean
1,1,88,1,46,0,11,clean
1,1,18,1,44,0,6,clean
1,1,18,1,44,0,6,clean
1,1,18,1,44,0,6,clean
1,1,88,1,46,0,11,clean
1,1,18,1,44,0,6,clean
1,1,10607,1,3914,0,10607,clean
1,1,107,1,0,0,107,clean
1,1,140,1,39,0,140,clean
1,1,185,1,57,8,185,clean
1,1,185,1,57,8,185,clean
1,1,185,1,57,8,185,clean
1,1,185,1,57,8,185,clean
1,1,185,1,57,8,185,clean
1,1,185,1,57,8,185,clean
1,1,185,1,57,8,185,clean
1,1,185,1,57,8,185,clean
1,1,185,1,57,8,185,clean
1,1,185,1,57,8,185,clean
1,1,193,1,116,14,193,clean
1,1,185,1,57,8,185,clean
1,1,107,1,0,0,107,clean
1,1,107,1,0,0,107,clean
1,1,56,1,10,0,56,clean
1,1,107,1,0,0,107,clean
1,1,9,1,40,0,3,clean
1,1,1,1,45,0,1,clean
1,1,26,1,40,0,0,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,3875235,1,1467,220,2839,clean
1,1,4,1,3106,681,0,clean
1,1,56048,1,3572,726,496,defective
1,1,100,1,6882,2112,25,clean
1,1,1501,1,959,173,1501,defective
1,1,20525,1,5808,0,20525,clean
1,1,293,1,0,0,0,clean
2,2,26,2,2703,628,13,clean
1,1,300,1,217,83,25,defective
1,1,5,1,219,43,0,clean
1,1,44,1,13,0,44,clean
1,1,806,2,739,228,403,defective
1,1,32,1,1396,320,32,clean
1,1,60,1,3617,837,6,clean
2,2,40641,2,3836,882,307,defective
1,1,55890,1,4113,934,345,defective
1,1,324384,1,3951,853,496,defective
1,1,140,1,39,0,140,clean
1,1,171,1,89,0,171,clean
1,1,31240,1,1034,160,110,defective
1,1,264,1,330,67,22,defective
1,1,492,1,349,56,492,clean
1,1,26,1,364,57,26,clean
1,1,185,1,395,95,5,clean
1,1,100,1,6882,2112,25,clean
1,1,226576,1,6829,2100,476,defective
1,1,72,1,6973,2153,72,clean
1,1,1,1,2510,618,1,clean
1,1,5,1,2693,784,0,clean
1,1,110864,2,3089,734,224,defective
1,1,492,1,349,56,492,clean
1,1,26,1,364,57,26,clean
2,2,1501,2,959,173,751,defective
1,1,1501,1,959,173,1501,defective
1,1,90,1,257,57,45,clean
1,1,140,1,6919,1763,70,clean
1,1,6,1,975,213,6,clean
1,1,144,2,195,43,12,clean
1,1,11868,1,1119,174,92,clean
2,2,75,2,1186,193,79,defective
1,1,1501,1,959,173,1501,defective
1,1,414,1,2916,804,23,clean
1,1,24804,1,1102,58,106,defective
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,22401,1,14408,6611,22401,clean
1,1,5329,1,3551,660,73,defective
1,1,5,1,8,2,5,clean
1,1,1,1,325,18,1,clean
2,2,6,2,603,150,3,clean
1,1,12,1,258,69,4,clean
3,3,11,8,646,130,14,defective
4,4,2,4,565,143,17,defective
4,4,5470,4,1610,269,731,defective
11,11,3,20,677,129,6,defective
1,1,65,2,591,99,44,clean
4,4,81,6,86,17,16,defective
1,1,20667,1,282,91,83,clean
1,1,3,1,151,27,3,clean
1,1,1680,1,187,33,60,clean
1,1,638,2,245,57,402,clean
1,1,155,3,239,57,390,defective
1,1,905,1,243,64,181,defective
4,4,161,12,189,42,221,defective
1,1,7,1,2,0,7,clean
1,1,14,1,246,66,7,clean
1,1,184,1,71,2,184,defective
1,1,3,1,73,3,3,defective
3,3,6,17,1598,438,26,defective
5,5,89,9,1815,537,10,defective
4,4,2,5,2644,649,3,defective
1,1,1,1,7304,2222,1,clean
1,1,546,1,3568,159,26,defective
1,1,7,1,138,38,7,clean
2,2,53,2,2141,175,27,clean
4,4,700,6,701,165,23,defective
3,3,1185,3,768,128,8,clean
1,1,12,1,2812,762,4,clean
1,1,12,1,2812,762,4,clean
1,1,12,1,2819,762,6,clean
1,1,2,1,380,54,0,clean
1,1,121,1,380,54,11,clean
1,1,30,2,2283,184,18,defective
1,1,1360,1,1000,208,34,defective
2,2,4,2,412,86,2,clean
1,1,8,1,1149,189,8,clean
1,1,1,1,552,106,0,clean
1,1,10,1,437,108,0,clean
1,1,4,1,4516,330,2,clean
2,2,650,3,1776,146,156,defective
4,4,81,4,2625,206,22,defective
3,3,6,5,1012,110,13,defective
1,1,136,1,67,10,136,clean
3,3,198,3,2241,220,62,defective
1,1,546,4,2277,171,17,defective
1,1,7,3,90,19,93,clean
2,2,15,2,3691,167,37,defective
1,1,378,1,42,12,21,clean
1,1,120,1,1008,221,12,defective
1,1,25,1,1034,226,5,clean
1,1,31240,1,1034,160,110,defective
1,1,775,1,1163,181,31,clean
2,2,5,2,1371,318,3,clean
1,1,8,1,172,36,4,defective
1,1,138,5,179,40,299,defective
2,2,358,2,159,38,231,defective
1,1,611,1,344,58,611,defective
2,2,5,7,201,43,22,defective
1,1,454,1,273,66,454,defective
2,2,37,2,1457,252,68,defective
12,12,288,14,914,168,220,defective
1,1,735124,1,561,104,871,defective
3,3,368,3,762,150,88,clean
9,9,288,11,806,151,224,defective
1,1,735124,1,561,104,871,defective
1,1,1681,1,718,138,41,defective
8,8,288,10,832,157,250,defective
1,1,735124,1,561,104,871,defective
6,6,288,8,872,164,311,defective
1,1,735124,1,561,104,871,defective
7,7,288,9,880,166,283,defective
1,1,735124,1,561,104,871,defective
9,9,62,11,1197,208,123,defective
1,1,4664,1,1840,382,44,clean
1,1,40,2,2051,424,42,clean
1,1,451,1,5603,1114,11,clean
2,2,38,2,448,122,54,clean
1,1,43,1,533,147,43,clean
1,1,206,2,88,11,137,defective
1,1,166,1,105,23,166,defective
1,1,7308,1,526,128,203,clean
1,1,2,1,89,0,1,clean
1,1,2960,1,120,31,74,clean
3,3,73,4,917,171,71,defective
2,2,5,2,1443,252,3,clean
3,3,999,3,829,153,409,clean
2,2,360,2,246,33,147,defective
1,1,20,1,242,46,20,clean
1,1,611,1,344,58,611,defective
1,1,7850,1,484,129,157,defective
1,1,40,1,25,0,40,clean
2,2,6643,3,14,0,50,clean
2,2,1972,2,21,0,30,clean
2,2,6643,3,67,1,60,clean
1,1,6643,1,1,0,91,clean
1,1,748,1,579,51,748,defective
1,1,68,1,558,48,2,clean
1,1,30,1,1158,180,30,clean
2,2,15,2,638,129,92,clean
1,1,15,1,957,187,15,clean
1,1,1,1,182,0,1,clean
1,1,88,1,46,0,11,clean
1,1,88,1,46,0,11,clean
1,1,7,1,964,300,7,clean
1,1,88,1,46,0,11,clean
1,1,7,1,964,300,7,clean
1,1,88,1,46,0,11,clean
1,1,88,1,46,0,11,clean
1,1,88,1,46,0,11,clean
1,1,88,1,46,0,11,clean
1,1,137,1,78,8,137,clean
2,2,292,2,35,2,77,defective
1,1,6643,4,516,125,44,clean
1,1,2960,1,120,31,74,clean
1,1,2960,1,120,31,74,clean
1,1,2960,1,120,31,74,clean
1,1,8100,1,101,2,90,clean
1,1,8100,1,101,2,90,clean
2,2,412,2,714,137,64,clean
1,1,748,1,579,51,748,defective
1,1,77,1,559,48,7,clean
1,1,6,1,664,146,0,clean
1,1,47,1,27,5,47,defective
1,1,8,1,20,4,0,clean
1,1,5,1,318,84,5,clean
1,1,26,1,364,57,26,clean
2,2,412,2,714,137,64,clean
2,2,10125,2,914,168,122,clean
6,6,10125,6,867,161,116,clean
1,1,2210,1,163,30,130,defective
1,1,2210,1,163,30,130,defective
1,1,16,1,74,20,4,defective
1,1,56,1,316,42,7,clean
1,1,3,1,639,134,3,clean
3,3,22,3,30,9,10,clean
1,1,1,1,35,8,1,clean
1,1,1,1,35,8,1,clean
1,1,400,1,2574,814,20,clean
1,1,1,1,53,0,1,clean
1,1,11058,3,1156,333,68,defective
1,1,5,1,68,0,5,clean
1,1,60,1,1019,293,5,clean
1,1,5,1,216,82,1,clean
1,1,5,6,123,9,143,defective
1,1,1,1,9,0,1,clean
1,1,10,4,153,12,3,clean
1,1,400,1,2574,814,20,clean
1,1,11058,3,1156,333,68,defective
1,1,400,1,2574,814,20,clean
1,1,11058,3,1156,333,68,defective
2,2,32,2,665,138,16,clean
2,2,516,2,84,13,25,clean
1,1,1,1,86,14,1,clean
2,2,731,12,86,15,126,clean
6,6,14,6,539,0,4,clean
2,2,3,2,544,0,5,clean
3,3,356,3,537,0,43,defective
1,1,8,1,546,0,8,clean
3,3,292,3,537,0,41,defective
1,1,22,1,3,0,1,clean
1,1,11,1,539,0,11,clean
1,1,11,1,539,0,11,clean
1,1,11,1,539,0,11,clean
1,1,81,1,190,40,9,defective
2,2,3,7,173,34,34,defective
1,1,76,2,446,111,69,defective
10,10,942,23,851,101,200,defective
1,1,8420,1,3240,763,421,defective
1,1,1187,1,949,193,1187,defective
1,1,1187,1,949,193,1187,defective
3,3,2732,3,5001,379,154,defective
1,1,1187,1,949,193,1187,defective
2,2,43,2,343,76,25,clean
1,1,2079,1,1711,421,99,defective
1,1,386,1,247,45,386,clean
3,3,202,3,1231,292,82,defective
1,1,41132,1,1259,296,226,clean
1,1,4,1,1261,296,2,clean
1,1,41132,1,1259,296,226,clean
1,1,34,2,2729,694,34,defective
2,2,5,3,2729,689,1,defective
1,1,322,1,136,10,46,clean
1,1,415,1,279,48,415,defective
3,3,1019,3,838,208,194,defective
1,1,50,1,1680,399,10,clean
1,1,336,1,894,170,56,clean
2,2,731,12,86,15,126,clean
1,1,10,1,24,3,10,clean
1,1,9,1,967,301,9,clean
2,2,4,2,539,0,8,clean
1,1,49,1,18,2,49,clean
1,1,8532,1,535,0,108,defective
1,1,8,3,96,10,8,clean
2,2,6,4,72,8,8,clean
3,3,92,5,455,37,42,defective
1,1,595,1,3808,770,35,clean
1,1,8532,1,535,0,108,defective
1,1,41132,1,1259,296,226,clean
1,1,46782,1,188,17,207,clean
1,1,46782,1,188,17,207,clean
1,1,8420,1,3240,763,421,defective
2,2,42513,2,3384,796,191,defective
1,1,99,1,29,0,99,clean
1,1,99,1,29,0,99,clean
1,1,883060,1,891,267,670,clean
1,1,2,1,7243,2208,2,clean
1,1,4,1,2779,805,4,clean
1,1,3828,1,2862,838,66,clean
1,1,4,1,2779,805,4,clean
1,1,3828,1,2862,838,66,clean
1,1,768,1,496,88,768,clean
1,1,106,1,46,8,106,clean
1,1,441,1,385,83,21,clean
1,1,8420,1,3240,763,421,defective
1,1,321,1,3266,770,0,clean
3,3,8,3,2972,762,9,clean
1,1,2,1,19,0,0,clean
1,1,2464,1,1422,338,56,clean
1,1,4,1,367,60,1,clean
1,1,415,1,279,48,415,defective
1,1,883060,1,891,267,670,clean
5,5,957,5,7255,2212,79,defective
1,1,38,1,7276,2219,38,clean
1,1,1150,1,2779,805,50,defective
1,1,69,1,537,94,69,clean
4,4,75,4,1247,204,69,defective
1,1,285,1,1405,230,57,clean
4,4,2016,4,1260,208,60,defective
2,2,2016,2,1206,201,73,defective
3,3,1827,3,1281,210,40,defective
1,1,72,1,1011,253,18,defective
2,2,140,2,1193,298,133,defective
1,1,71,1,7054,1805,71,clean
2,2,43,2,1011,252,22,defective
1,1,336,1,894,170,56,clean
1,1,768,1,496,88,768,clean
1,1,1,1,383,94,1,clean
3,3,32,3,675,138,33,clean
3,3,44,10,1470,380,120,defective
3,3,42,3,1534,405,18,defective
1,1,16,1,133,22,16,clean
1,1,12,1,2819,762,6,clean
2,2,1,2,167,36,2,clean
1,1,4,1,170,36,4,clean
1,1,297,1,1131,349,11,clean
1,1,7,1,86,14,1,clean
2,2,21,15,322,0,2,clean
1,1,68,1,39,0,17,clean
2,2,277,4,484,94,661,defective
1,1,335,1,186,19,335,defective
1,1,335,1,186,19,335,defective
1,1,335,1,186,19,335,defective
1,1,659,1,488,58,659,defective
1,1,455,1,688,171,35,clean
1,1,9,1,135,19,3,clean
1,1,373246,1,1688,102,866,defective
1,1,70,1,23,4,70,clean
1,1,12,1,245,86,6,clean
1,1,12,1,245,86,6,clean
1,1,335,1,186,19,335,defective
1,1,455,1,688,171,35,clean
1,1,5893,1,170,19,71,defective
1,1,9805,1,1193,298,265,defective
1,1,1872,1,3296,661,72,clean
1,1,445,1,463,64,89,clean
1,1,1521,3,1086,261,64,defective
1,1,335,2,186,19,335,defective
4,4,473,4,3202,706,131,defective
2,2,45,2,1752,438,25,defective
1,1,251,1,168,31,251,clean
1,1,303,4,205,30,320,defective
1,1,237,1,148,29,237,clean
3,3,303,4,97,18,107,defective
1,1,303,2,93,17,193,defective
2,2,303,4,128,22,165,defective
2,2,303,3,115,19,137,defective
3,3,5,3,433,83,94,clean
1,1,341,1,270,44,341,defective
1,1,2,1,132,0,2,clean
1,1,341,1,114,23,341,clean
1,1,341,1,114,23,341,clean
1,1,3,2,334,40,3,clean
1,1,426,1,177,38,71,clean
1,1,5893,1,170,19,71,defective
1,1,56048,1,3572,726,496,defective
1,1,6,5,767,164,18,clean
1,1,9,1,615,122,3,clean
1,1,2,1,766,191,2,clean
1,1,445,1,463,64,89,clean
1,1,1521,3,977,253,92,defective
1,1,13,1,917,172,13,clean
1,1,4,1,5623,1118,0,clean
1,1,5,1,556,133,5,clean
1,1,176,1,2213,424,176,clean
1,1,5893,1,170,19,71,defective
1,1,335,1,186,19,335,defective
1,1,4,1,179,39,2,clean
1,1,335,2,186,19,335,defective
1,1,32,1,801,226,16,clean
2,2,7,30,1202,226,5,clean
1,1,78,1,2,0,13,clean
1,1,5168,2,62,5,45,defective
2,2,900,2,1692,416,46,defective
31,31,400,55,1868,397,61,defective
1,1,5,2,557,110,1,clean
3,3,73,9,1417,191,11,clean
2,2,1452,3,544,104,36,clean
10,10,105,11,1076,85,187,clean
4,4,19,5,527,124,35,clean
2,2,23496,3,296,66,101,defective
1,1,1452,3,375,71,28,clean
1,1,414,1,178,65,23,clean
2,2,101,2,192,62,11,clean
4,4,623,10,202,44,48,defective
4,4,56,5,538,116,17,defective
1,1,18,2,289,56,27,defective
3,3,18,3,391,82,4,clean
30,30,17,41,199,2,87,defective
30,30,8,42,220,4,374,defective
1,1,19,1,13,0,1,clean
1,1,94,3,248,4,29,clean
3,3,82,7,506,91,15,clean
3,3,459,4,320,72,67,defective
3,3,43,4,276,60,14,defective
6,6,30,8,1188,245,53,clean
9,9,839,14,800,164,536,defective
1,1,660,1,193,62,55,clean
8,8,622,15,159,48,41,defective
1,1,660,1,193,62,55,clean
1,1,11881,1,159,54,109,clean
3,3,518,3,505,146,25,clean
4,4,74,11,289,81,36,clean
1,1,9,1,145,8,3,clean
1,1,8,1,255,44,2,clean
3,3,225,4,242,42,14,clean
1,1,660,1,193,62,55,clean
7,7,48,11,312,75,39,defective
6,6,1300,6,387,9,21,defective
1,1,5,1,568,0,0,clean
10,10,21,13,361,99,23,defective
1,1,7056,2,629,0,84,clean
2,2,7056,3,628,0,56,clean
2,2,13,2,1016,318,14,clean
2,2,2792,6,431,100,33,defective
1,1,4,1,365,177,2,clean
3,3,9135,3,336,28,132,defective
5,5,220,5,459,96,79,defective
2,2,214,3,544,107,18,clean
3,3,4,3,105,13,3,clean
1,1,6,1,633,0,6,clean
7,7,731,9,260,38,24,clean
10,10,142,26,357,65,30,clean
4,4,195,6,407,54,19,clean
3,3,723,16,403,87,49,defective
3,3,79,3,367,47,21,clean
2,2,14,2,412,31,5,clean
5,5,4,8,262,19,12,clean
12,12,95,20,293,60,44,defective
1,1,11881,1,159,54,109,clean
3,3,5,5,220,57,57,defective
14,14,1529,15,458,98,49,defective
9,9,56,15,559,131,28,defective
1,1,408,1,661,188,17,clean
3,3,295,4,479,147,31,clean
1,1,408,1,661,188,17,clean
1,1,400,2,668,188,20,clean
7,7,357,24,309,61,99,defective
11,11,85,14,394,88,44,defective
5,5,129,8,299,80,33,defective
18,18,12,24,215,39,9,defective
14,14,49,27,604,125,420,defective
10,10,1124,11,1614,339,149,defective
5,5,91,5,2517,592,509,defective
12,12,82,21,469,91,63,defective
11,11,62,19,320,64,70,defective
12,12,282,18,515,123,65,defective
8,8,51,8,1113,269,48,defective
1,1,729,1,2967,653,27,clean
1,1,4,1,2974,655,4,clean
8,8,116,9,943,197,18,clean
6,6,347,7,883,212,168,defective
1,1,169,1,2751,693,13,clean
3,3,2,4,1497,386,8,clean
1,1,180,2,265,8,9,clean
1,1,5,1,30,3,5,clean
1,1,16,2,197,44,13,clean
1,1,42,1,16,2,42,clean
3,3,1047,4,194,42,80,defective
1,1,529,1,2,0,23,clean
3,3,6,3,979,304,11,clean
3,3,11,3,1013,317,13,clean
3,3,49,4,192,45,27,clean
2,2,9,4,224,49,8,clean
1,1,6875,1,178,24,55,clean
2,2,4,3,59,3,2,clean
1,1,6296,2,857,0,153,clean
1,1,20076,1,133,22,21,clean
1,1,4,1,596,0,4,clean
2,2,262,3,189,43,225,clean
6,6,68,6,415,84,156,defective
4,4,11,4,407,53,99,clean
1,1,20076,1,133,22,21,clean
1,1,1,1,846,0,1,clean
1,1,126,1,308,48,18,clean
1,1,196,4,304,41,33,clean
1,1,3611,1,0,0,0,clean
1,1,663,1,319,41,39,clean
1,1,5,2,1301,242,14,clean
1,1,25,1,482,102,5,clean
14,14,267,15,995,221,17,defective
14,14,139,17,1351,316,361,defective
1,1,37,1,1,0,37,clean
2,2,70,2,467,98,18,defective
1,1,37,1,1,0,37,clean
3,3,1273,4,247,51,47,defective
1,1,674,2,0,0,0,clean
1,1,3611,1,0,0,0,clean
4,4,4365,5,318,57,422,defective
1,1,37,1,1,0,37,clean
2,2,70,2,467,98,18,defective
2,2,55,2,1157,240,66,clean
1,1,20076,2,191,39,207,clean
1,1,16,1,1414,322,4,clean
5,5,401,7,3014,228,25,clean
6,6,340,9,1497,90,113,defective
1,1,20304,1,6471,1656,108,defective
2,2,25527,2,5507,1384,141,clean
2,2,48,2,1692,396,38,defective
4,4,6,6,1353,313,68,defective
1,1,4,1,7323,2229,4,clean
1,1,8932,1,881,185,319,clean
1,1,544,1,7322,2228,34,clean
1,1,136,1,7488,2269,17,clean
11,11,478,13,1395,547,221,clean
22,22,106,34,495,98,171,defective
2,2,140,2,877,197,11,clean
1,1,5,1,701,191,5,clean
1,1,3765,1,0,0,0,clean
8,8,15,12,103,5,11,clean
2,2,2,2,35,1,2,clean
4,4,1113,5,214,63,27,clean
1,1,56,1,3,0,7,clean
3,3,1113,4,190,53,34,clean
3,3,1113,4,190,53,34,clean
3,3,1113,4,190,53,34,clean
2,2,1520,2,366,107,55,clean
1,1,7,1,346,81,7,clean
2,2,2018,2,870,210,129,defective
3,3,1,3,1173,336,16,clean
2,2,53,3,687,137,4,clean
3,3,517,4,667,111,451,defective
5,5,1322,5,3784,967,90,defective
5,5,1044,6,1938,480,320,defective
1,1,729,1,2967,653,27,clean
3,3,127,5,1272,268,420,defective
1,1,30,1,5241,1299,10,clean
3,3,6,3,1338,78,5,clean
1,1,4347,1,0,0,0,clean
4,4,371,4,3775,837,38,defective
2,2,117584,2,3325,791,1158,defective
1,1,195,1,73,0,15,clean
4,4,2,4,1727,499,13,clean
9,9,3,11,394,95,23,clean
9,9,24,11,628,117,47,defective
2,2,3775,2,1013,205,77,defective
1,1,1,1,949,201,1,clean
16,16,6486,26,796,165,58,defective
13,13,159,19,886,195,192,defective
1,1,650,1,2305,588,13,clean
4,4,164,4,703,146,16,clean
1,1,135,1,718,153,45,defective
6,6,10,7,701,138,126,clean
1,1,2,1,506,139,2,clean
3,3,23,3,513,145,81,defective
1,1,93,1,1,0,93,clean
1,1,80,1,612,119,8,clean
1,1,4,1,627,119,2,clean
1,1,7056,1,629,0,84,clean
1,1,34,1,51,18,17,clean
5,5,296,5,153,36,27,defective
2,2,168,2,638,0,44,clean
3,3,36,3,603,141,11,clean
1,1,260,1,862,184,52,defective
3,3,3218,3,233,47,95,defective
1,1,441,2,621,119,21,clean
3,3,3218,4,266,54,84,defective
4,4,800,7,454,89,24,defective
1,1,1143,1,873,166,1143,clean
4,4,246,4,45,4,27,clean
1,1,93,1,1,0,93,clean
1,1,118,1,0,0,0,clean
1,1,1,1,615,122,1,clean
1,1,380,1,448,49,19,clean
1,1,1,2,21,4,1,clean
1,1,551,2,480,108,291,defective
7,7,791,7,521,120,343,defective
1,1,529,1,2,0,23,clean
1,1,529,1,2,0,23,clean
4,4,310,5,467,108,121,clean
8,8,7056,13,358,56,20,defective
1,1,1205,1,615,107,1205,clean
2,2,84,3,116,17,35,clean
2,2,84,9,2,0,1,clean
1,1,59,2,8,0,59,clean
1,1,3924,2,468,78,62,clean
1,1,1296,1,3,0,36,clean
1,1,12,1,797,142,4,clean
1,1,282,1,1400,248,47,defective
2,2,171468,5,389,62,449,defective
3,3,300533,4,2689,620,491,defective
1,1,2760,1,1138,241,345,defective
1,1,6966,1,1144,246,81,clean
1,1,168,1,557,135,14,clean
1,1,168,1,557,135,14,clean
1,1,8,1,20,8,8,clean
1,1,168,1,557,135,14,clean
1,1,2760,1,1138,241,345,defective
1,1,4066,1,7553,2269,107,clean
3,3,360,3,1062,225,129,defective
5,5,24,5,1142,243,31,defective
1,1,551,2,480,108,291,defective
2,2,460,2,962,199,25,defective
2,2,110,2,290,42,18,clean
2,2,80,2,3236,592,53,clean
1,1,360,1,905,192,40,clean
2,2,6405,2,3567,685,54,clean
2,2,1,2,8,0,1,clean
1,1,171468,1,217,46,99,clean
3,3,90,3,251,66,8,defective
1,1,77,1,3725,170,11,clean
5,5,47,6,239,71,24,clean
1,1,4,3,574,153,0,clean
3,3,41,9,341,81,21,clean
5,5,7,46,981,184,4,clean
1,1,1296,2,3,0,36,clean
2,2,2,3,9,0,24,clean
1,1,726,1,534,103,121,clean
1,1,24,1,569,106,24,defective
2,2,42,7,853,167,26,clean
1,1,529,1,2,0,23,clean
1,1,171468,1,217,46,99,clean
2,2,24,4,66,12,1,clean
4,4,800,6,423,63,23,clean
1,1,1159,1,333,83,61,clean
2,2,143658,4,389,79,252,clean
1,1,171468,3,503,71,622,defective
1,1,4140,1,327,45,92,clean
1,1,25,2,79,8,9,clean
1,1,4140,1,327,45,92,clean
1,1,84,2,165,25,24,clean
1,1,683,1,0,0,0,clean
1,1,270,2,500,135,36,clean
1,1,270,2,500,135,36,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
1,1,5929245,1,12752,6013,2689,clean
