@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R3,5,7,11'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute modd numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
6,6,266,12,1955,596,3905,defective
5,5,34,5,512,62,26,defective
6,6,123,10,465,139,20,defective
1,1,4,1,2239,592,4,clean
1,1,4,1,77,2,4,clean
1,1,24,1,175,0,6,clean
1,1,11,1,40,0,0,clean
2,2,3,2,44,0,0,clean
2,2,66,2,8,0,68,clean
1,1,14,1,113,0,14,clean
1,1,238,1,43,0,17,clean
1,1,2295,1,98,10,51,clean
1,1,2295,1,98,10,51,clean
2,2,4,3,1482,327,18,defective
1,1,54,1,852,223,9,clean
8,8,21,8,1423,367,14,defective
20,20,147,34,567,128,33,defective
5,5,28,5,410,70,12,clean
2,2,34,2,749,185,2,clean
4,4,556,5,717,163,178,defective
5,5,1,7,1246,242,14,defective
1,1,1,1,717,178,1,clean
1,1,47670,1,2550,567,210,defective
2,2,3,2,2634,591,2,clean
1,1,33,1,717,178,11,clean
2,2,276,2,765,189,48,defective
3,3,1,3,282,63,5,clean
2,2,17280,2,408,96,273,defective
2,2,1501,2,896,180,758,defective
1,1,172860,1,2052,404,1005,defective
2,2,768,2,695,142,384,clean
1,1,5,1,556,133,5,clean
1,1,144,1,2143,555,18,clean
1,1,154,1,2218,568,22,defective
1,1,31759,1,1410,321,349,clean
1,1,261057,1,865,102,503,clean
1,1,177,2,51,6,88,defective
2,2,36,2,969,222,6,clean
1,1,1,1,3419,942,1,defective
1,1,1,1,2994,842,1,clean
1,1,736,1,4053,1112,32,clean
1,1,1248,1,499,190,48,clean
1,1,231,1,273,60,21,clean
1,1,3053,1,242,96,71,clean
1,1,227,1,120,34,227,clean
1,1,7878,1,485,149,101,clean
1,1,7878,1,485,149,101,clean
1,1,648,1,405,91,36,clean
1,1,38,1,8,0,19,clean
1,1,7705,2,172,6,65,clean
1,1,1470,1,261,55,35,clean
1,1,5720,1,311,111,104,clean
1,1,2,1,22,0,2,clean
1,1,551,1,145,8,29,clean
1,1,551,1,145,8,29,clean
1,1,551,1,145,8,29,clean
1,1,1288,4,358,50,68,clean
1,1,49,1,1202,284,7,clean
1,1,24,1,1212,289,12,clean
1,1,55,1,1202,286,11,clean
2,2,168,3,340,92,29,clean
2,2,12,2,43,0,15,clean
1,1,73,1,22,7,73,clean
1,1,40,1,98,49,10,clean
1,1,870,1,6,0,30,clean
1,1,10,2,190,42,7,clean
1,1,31759,2,748,168,175,clean
1,1,1,1,17,0,1,clean
1,1,40,1,25,0,40,clean
1,1,2,1,813,134,2,clean
2,2,64,2,2353,482,267,defective
1,1,36,1,960,205,9,clean
4,4,26,4,233,21,20,defective
1,1,190,1,539,0,10,clean
2,2,142,2,709,193,38,clean
1,1,1,1,1107,314,0,clean
3,3,10,3,900,226,629,defective
1,1,112,1,2,0,16,clean
1,1,625,1,2,0,25,clean
1,1,12,1,4,0,3,clean
1,1,390,1,788,225,13,clean
1,1,550,1,104,23,11,clean
2,2,16,2,501,152,8,clean
1,1,11,1,907,286,0,clean
1,1,18,1,926,292,18,defective
1,1,918,1,336,69,51,defective
6,6,1611,7,554,132,155,defective
1,1,3721,1,712,168,61,defective
2,2,175,3,122,35,32,clean
1,1,12,1,176,45,12,clean
1,1,49770,2,291,127,451,defective
1,1,6,4,229,52,6,clean
1,1,446,1,284,72,446,defective
1,1,9,2,262,63,3,clean
1,1,25,1,369,104,5,defective
1,1,480,1,366,104,15,clean
2,2,1,4,117,28,6,defective
1,1,27,2,203,52,12,clean
1,1,870,1,94,3,10,clean
1,1,30,1,346,110,3,clean
1,1,18,3,266,70,11,clean
1,1,5,1,188,49,5,clean
1,1,24,1,642,147,12,clean
2,2,2,2,420,94,2,clean
3,3,2,3,527,87,2,clean
1,1,8100,1,101,2,90,clean
1,1,3,1,572,118,3,clean
2,2,2,3,283,58,0,clean
1,1,125,4,372,55,217,defective
3,3,71,3,348,66,43,defective
1,1,21,1,283,64,7,clean
1,1,24,1,642,147,12,clean
1,1,1850,1,1026,134,1850,clean
1,1,20520,1,315,41,190,clean
2,2,304,2,844,0,10,clean
1,1,1,1,846,0,1,clean
1,1,35,1,846,0,5,clean
3,3,1,3,846,0,2,clean
3,3,4,3,846,0,2,clean
1,1,1248,1,499,190,48,clean
1,1,111,1,32,0,111,clean
1,1,1248,1,499,190,48,clean
1,1,188,3,28,3,72,clean
1,1,1260,1,283,17,30,clean
1,1,14,1,14,0,14,clean
1,1,289,12,335,74,125,clean
1,1,227,1,120,34,227,clean
1,1,15,1,25,0,0,clean
1,1,20520,1,315,41,190,clean
1,1,31759,1,1410,321,349,clean
1,1,31759,1,1410,321,349,clean
1,1,38,1,10,0,0,clean
1,1,38,1,10,0,0,clean
1,1,38,1,10,0,0,clean
1,1,38,1,10,0,0,clean
1,1,38,1,10,0,0,clean
1,1,38,1,10,0,0,clean
1,1,38,1,10,0,0,clean
1,1,38,1,10,0,0,clean
1,1,38,1,10,0,0,clean
1,1,8,2,1374,283,2,clean
5,5,3,14,940,178,17,clean
2,2,6,3,733,103,400,defective
1,1,36,2,313,37,27,clean
2,2,3,2,430,77,10,defective
9,9,59,9,645,152,14,defective
6,6,10,7,692,147,6,clean
11,11,37,20,685,179,144,defective
7,7,57,7,813,217,24,defective
14,14,281,15,658,175,77,defective
14,14,16,18,930,216,154,defective
1,1,7,1,3,0,1,clean
1,1,40,1,98,49,10,clean
1,1,40,1,98,49,10,clean
2,2,10607,2,2097,27,5307,defective
1,1,37,1,3008,714,37,defective
1,1,190992,1,3323,758,692,defective
4,4,8781,4,3865,884,174,defective
2,2,651,2,4035,917,188,defective
1,1,324384,1,3951,853,496,defective
1,1,14,1,2987,241,7,clean
1,1,760,1,3612,216,40,clean
1,1,2,1,3504,313,2,clean
1,1,5,1,1331,131,0,clean
1,1,15,1,25,0,0,clean
1,1,4,1,663,114,2,clean
5,5,29,14,1923,466,78,defective
2,2,1,2,1530,381,1,clean
5,5,109,8,1517,476,105,defective
1,1,5106,1,1109,316,74,clean
3,3,3342,4,790,173,194,defective
2,2,10,5,741,180,437,defective
1,1,6,1,1410,371,0,clean
1,1,40,2,68,27,10,clean
1,1,1470,2,271,0,1447,clean
2,2,84,2,70,31,67,clean
1,1,1957,1,1069,235,19,clean
2,2,14,2,313,69,3,clean
1,1,35,1,3414,634,5,clean
1,1,24,1,3422,637,8,clean
