@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R3,6-9,11'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
1,1,551,48,29,clean
1,1,551,48,29,clean
1,1,1288,533,68,clean
1,1,49,14,7,clean
1,1,24,14,12,clean
1,1,55,16,11,clean
2,2,168,125,29,clean
2,2,12,5,15,clean
1,1,73,73,73,clean
1,1,40,14,10,clean
1,1,870,59,30,clean
1,1,10,17,7,clean
1,1,31759,444,175,clean
1,1,1,2,1,clean
1,1,40,41,40,clean
1,1,2,2,2,clean
2,2,64,534,267,defective
1,1,36,13,9,clean
4,4,26,100,20,defective
1,1,190,29,10,clean
2,2,142,4,38,clean
1,1,1,1,0,clean
3,3,10,6,629,defective
1,1,112,23,16,clean
1,1,625,50,25,clean
1,1,12,7,3,clean
1,1,390,43,13,clean
1,1,550,61,11,clean
2,2,16,4,8,clean
1,1,11,11,0,clean
1,1,18,18,18,defective
1,1,918,69,51,defective
6,6,1611,224,155,defective
1,1,3721,122,61,defective
2,2,175,299,32,clean
1,1,12,12,12,clean
1,1,49770,1061,451,defective
1,1,6,24,6,clean
1,1,446,446,446,defective
1,1,9,12,3,clean
1,1,25,10,5,defective
1,1,480,47,15,clean
2,2,1,38,6,defective
1,1,27,59,12,clean
1,1,870,97,10,clean
1,1,30,13,3,clean
1,1,18,75,11,clean
1,1,5,6,5,clean
1,1,24,14,12,clean
2,2,2,5,2,clean
3,3,2,2,2,clean
1,1,8100,180,90,clean
1,1,3,4,3,clean
2,2,2,2,0,clean
1,1,125,1441,217,defective
3,3,71,137,43,defective
1,1,21,10,7,clean
1,1,24,14,12,clean
1,1,1850,1850,1850,clean
1,1,20520,298,190,clean
2,2,304,44,10,clean
1,1,1,2,1,clean
1,1,35,12,5,clean
3,3,1,14,2,clean
3,3,4,12,2,clean
1,1,1248,74,48,clean
1,1,111,111,111,clean
1,1,1248,74,48,clean
1,1,188,222,72,clean
1,1,1260,72,30,clean
1,1,14,15,14,clean
1,1,289,2084,125,clean
1,1,227,227,227,clean
1,1,15,15,0,clean
1,1,20520,298,190,clean
1,1,31759,440,349,clean
1,1,31759,440,349,clean
1,1,38,38,0,clean
1,1,38,38,0,clean
1,1,38,38,0,clean
1,1,38,38,0,clean
1,1,38,38,0,clean
1,1,38,38,0,clean
1,1,38,38,0,clean
1,1,38,38,0,clean
1,1,38,38,0,clean
1,1,8,8,2,clean
5,5,3,139,17,clean
2,2,6,1204,400,defective
1,1,36,56,27,clean
2,2,3,44,10,defective
9,9,59,13,14,defective
6,6,10,4,6,clean
11,11,37,24,144,defective
7,7,57,21,24,defective
14,14,281,469,77,defective
14,14,16,6,154,defective
1,1,7,8,1,clean
1,1,40,14,10,clean
1,1,40,14,10,clean
2,2,10607,10616,5307,defective
1,1,37,37,37,defective
1,1,190992,968,692,defective
4,4,8781,851,174,defective
2,2,651,559,188,defective
1,1,324384,1150,496,defective
1,1,14,9,7,clean
1,1,760,59,40,clean
1,1,2,2,2,clean
1,1,5,5,0,clean
1,1,15,15,0,clean
1,1,4,4,2,clean
5,5,29,1082,78,defective
2,2,1,2,1,clean
5,5,109,15,105,defective
1,1,5106,143,74,clean
3,3,3342,491,194,defective
2,2,10,3095,437,defective
1,1,6,6,0,clean
1,1,40,28,10,clean
1,1,1470,2894,1447,clean
2,2,84,146,67,clean
1,1,1957,122,19,clean
2,2,14,10,3,clean
1,1,35,12,5,clean
1,1,24,11,8,clean
1,1,8,6,2,clean
1,1,95,24,19,clean
1,1,24,14,12,clean
1,1,31759,440,349,clean
1,1,5,6,5,clean
1,1,31759,440,349,clean
1,1,6643,328,91,clean
6,6,62,168,72,defective
2,2,1,34,2,clean
2,2,480,39,138,defective
4,4,61,31,47,defective
4,4,272,112,147,defective
6,6,36,18,18,defective
2,2,6,24,12,defective
1,1,18,9,6,clean
1,1,1052,998,236,defective
1,1,1,2,1,clean
1,1,1052,998,236,defective
3,3,32,68,11,clean
3,3,25,155,33,defective
1,1,96,22,16,defective
1,1,1092,121,35,defective
3,3,336,136,29,clean
1,1,75,20,15,clean
1,1,226576,952,476,defective
2,2,1,4,1,defective
2,2,858,67,18,clean
3,3,950,139,20,defective
2,2,268,141,50,defective
3,3,168,61,16,defective
1,1,226576,952,476,defective
1,1,112,22,14,clean
7,7,1022,150,61,defective
1,1,270,51,45,clean
1,1,226576,952,476,defective
2,2,1092,134,33,defective
1,1,5,5,5,clean
1,1,11571,220,133,defective
1,1,62,33,31,defective
2,2,510,81,30,defective
1,1,1,2,1,clean
1,1,529,46,23,clean
1,1,18,18,18,clean
2,2,4,49,14,clean
1,1,120,34,30,clean
1,1,62,33,31,clean
1,1,9310,193,98,clean
3,3,269010,2099,230,defective
1,1,80,80,80,clean
1,1,232,37,29,clean
1,1,31,31,31,clean
1,1,486,45,27,clean
7,7,950,322,26,defective
2,2,26,84,32,clean
1,1,17,18,17,clean
1,1,18,9,6,clean
1,1,8,6,4,clean
14,14,972,327,32,defective
8,8,34,15,13,clean
14,14,24,6,1189,defective
12,12,75,184,53,defective
8,8,1551,520,123,defective
9,9,17,44,209,defective
1,1,390,43,13,clean
2,2,742,14,61,defective
1,1,285,34,19,clean
1,1,1,2,1,clean
5,5,47,216,22,defective
2,2,2338,408,122,clean
13,13,51,6,15,defective
1,1,2,2,0,clean
1,1,5,5,0,clean
1,1,87,32,29,clean
1,1,1680,93,32,clean
1,1,1,1,0,clean
1,1,15,15,0,clean
9,9,10,1730,19,defective
1,1,14880,266,186,clean
3,3,4,6,1,clean
1,1,4664,150,44,clean
2,2,2114,50,152,clean
6,6,12,77,42,defective
17,17,10,282,17,defective
5,5,460,177,14,clean
7,7,13,170,28,defective
4,4,5,21,7,clean
6,6,9,262,12,clean
6,6,25,103,4,clean
1,1,50,25,7,defective
3,3,190,53,32,defective
1,1,20667,332,83,clean
1,1,1,2,1,clean
1,1,50,25,7,defective
2,2,684,68,22,clean
2,2,143,332,42,clean
1,1,1,2,1,clean
1,1,50,25,7,defective
2,2,684,68,22,clean
1,1,20667,332,83,clean
1,1,1,2,1,clean
1,1,25,10,5,defective
1,1,36,12,6,clean
1,1,20667,332,83,clean
1,1,1,2,1,clean
1,1,50,15,10,defective
1,1,684,56,38,clean
1,1,20667,332,83,clean
1,1,24,10,4,clean
1,1,272,33,17,clean
1,1,400,40,20,clean
1,1,11058,389,41,defective
2,2,2,2,1,clean
2,2,2,4,0,clean
2,2,58,32,24,clean
1,1,1680,88,60,clean
3,3,14,77,28,clean
11,11,320,125,24,defective
16,16,13,83,10,defective
6,6,2,16,3,clean
4,4,1,448,41,defective
6,6,118,74,125,defective
4,4,718,43,472,defective
3,3,36,18,9,defective
3,3,177,23,47,defective
2,2,1857,115,123,defective
1,1,462,73,66,defective
1,1,36,12,6,clean
1,1,378,78,21,clean
1,1,8,6,2,clean
3,3,837,129,21,clean
2,2,105,12,35,clean
4,4,46,47,6,defective
2,2,38,30,39,defective
5,5,16,66,20,defective
1,1,240,742,47,clean
7,7,950,277,19,defective
1,1,21,21,0,clean
2,2,2,7,3,clean
1,1,7,8,7,clean
1,1,1,2,1,clean
1,1,1520,162,152,clean
1,1,400,40,20,clean
3,3,2667,34,377,defective
1,1,10,254,34,clean
1,1,1520,162,152,clean
1,1,400,40,20,clean
1,1,1940,393,388,defective
1,1,11058,385,68,defective
3,3,102,5,31,defective
1,1,2,2,2,clean
5,5,27,23,17,clean
4,4,156,246,32,clean
1,1,30,11,5,clean
1,1,64,16,8,clean
8,8,33,534,27,defective
9,9,20,14,13,defective
6,6,333,7,62,defective
8,8,59,46,16,defective
9,9,14,344,30,defective
15,15,20,19,18,defective
1,1,20,20,20,clean
2,2,15,4,32,clean
4,4,28,20,5,clean
3,3,581,11,109,clean
1,1,1,1,0,clean
1,1,1947,2114,1057,clean
1,1,107,223,74,clean
3,3,57,27,13,defective
1,1,4,4,4,clean
1,1,12,12,0,clean
2,2,4,9,0,clean
1,1,81,18,9,defective
1,1,1947,1947,1947,clean
1,1,7,8,7,clean
1,1,2,3,2,clean
1,1,1947,1947,1947,clean
1,1,1,2,1,clean
3,3,2476,361,151,clean
1,1,510,1039,264,defective
1,1,3,4,1,clean
1,1,10,10,10,clean
1,1,22,23,1,clean
1,1,10,7,5,clean
1,1,1,2,1,clean
2,2,464,8,96,defective
3,3,16,15,9,clean
1,1,38,21,19,clean
4,4,48,12,21,defective
1,1,3,4,1,clean
