@relation dataset_file

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
3,3,2,8,4,3,2188,186,25,3,3,clean
2,2,4,1,2,2,1692,186,25,1,0,clean
1,1,5,72,27,1,1454,205,32,24,3,clean
2,2,6,152,44,2,1520,235,40,19,2,clean
2,2,8,1,2,2,1700,235,40,1,1,clean
3,3,10,26,24,3,1355,245,42,8,3,clean
11,11,2,24,40,11,2188,1334,397,5,5,clean
7,7,6,2,11,7,1692,1338,397,2,1,clean
4,4,9,9,10,4,1454,1383,409,24,3,clean
5,5,11,25,146,5,1520,1457,425,28,2,clean
4,4,14,63,67,4,1700,1475,428,21,5,defective
1,1,15,1,2,1,1355,1499,433,1,1,clean
2,2,2,94,37,2,1520,131,9,15,8,clean
1,1,3,32,18,1,1355,146,10,16,2,clean
3,3,2,12,27,3,2188,382,99,8,5,clean
1,1,3,1,2,1,1692,382,99,1,1,clean
1,1,4,3,3,1,1454,383,100,3,0,clean
1,1,5,1,2,1,1355,383,100,1,1,clean
3,3,2,9,2,3,2188,291,18,29,1,clean
1,1,3,2,3,1,1692,292,18,2,1,clean
3,3,5,4,4,3,1520,294,18,4,2,clean
2,2,7,3,2,2,1700,308,20,7,0,clean
2,2,2,5,6,2,2188,1130,300,3,2,clean
2,2,4,62,2,2,1520,1130,301,22,23,clean
1,1,5,9,6,1,1700,1130,301,3,3,clean
1,1,1,1,1,1,1520,106,1,0,1,clean
1,1,2,4,4,1,1700,106,1,2,2,clean
2,2,1,9,12,2,1692,1428,355,3,3,clean
1,1,2,1,2,1,1520,1428,355,1,1,clean
3,3,3,9,39,3,1355,1433,355,8,4,clean
1,1,1,3,3,1,1355,122,0,3,0,clean
1,1,1,6723,164,1,2188,145,57,83,81,clean
1,1,2,1,2,1,1454,145,57,1,1,clean
1,1,1,1,1,1,2188,31,0,0,1,clean
2,2,3,1,2,2,1520,30,0,0,1,clean
1,1,1,1,1,1,2188,61,8,1,0,clean
2,2,2,1,4,2,1454,61,8,1,1,clean
1,1,1,1,1,1,2188,50,8,0,1,clean
3,3,1,806,6490,10,1454,478,144,647,2,clean
3,3,3,1,4,3,1520,478,144,1,1,clean
6,6,4,632,324,8,1700,443,136,15,25,clean
2,2,5,2,13,2,1355,463,141,3,3,clean
1,1,1,1,2,1,1700,135,6,1,1,clean
1,1,1,2,2,1,2188,150,31,2,0,clean
1,1,2,4,4,1,1700,150,31,2,2,clean
1,1,1,1,2,1,1520,23,0,1,1,clean
1,1,1,49,14,1,1700,73,15,7,7,clean
1,1,1,16,8,1,1700,30,0,4,4,clean
14,14,3,3,1,14,2188,1421,339,10,5,clean
9,9,5,50,39,9,1692,1438,343,6,3,clean
6,6,8,46,14,6,1454,1506,357,26,12,clean
6,6,11,3,3,6,1520,1509,357,1,1,clean
14,14,15,16,65,14,1700,1647,382,27,10,clean
4,4,17,16,8,4,1355,1685,391,6,5,clean
2,2,1,9,8,2,2188,524,122,2,2,clean
1,1,2,20,9,1,1692,522,122,4,5,clean
1,1,3,1,2,1,1520,522,122,1,1,clean
6,6,4,3192,374,6,1700,631,150,48,14,clean
1,1,5,1,2,1,1355,652,156,1,1,clean
8,8,3,18,6,8,2188,889,223,5,5,clean
1,1,4,3,4,1,1692,890,224,3,1,clean
3,3,6,5,6,3,1454,891,224,2,1,clean
1,1,7,1144,74,1,1520,911,228,52,22,clean
3,3,8,2376,102,3,1700,919,233,18,15,clean
3,3,9,7568,225,3,1355,1012,258,59,15,clean
1,1,1,1,1,1,2188,131,0,0,1,clean
1,1,2,1,2,1,1454,131,0,1,1,clean
1,1,3,1,2,1,1520,131,0,1,1,clean
1,1,4,1,1,1,1700,132,0,1,0,clean
1,1,5,2,2,1,1355,134,0,2,0,clean
1,1,1,1,2,1,2188,258,61,1,1,clean
2,2,3,3,1,2,1520,258,61,2,1,clean
2,2,4,1,4,2,1700,258,61,1,1,clean
