@relation dataset_evaluation_feat_message-weka.filters.supervised.instance.SMOTE-C0-K5-P300.0-S1

@attribute revi numeric
@attribute refa numeric
@attribute bugf numeric
@attribute auth numeric
@attribute addl numeric
@attribute addm numeric
@attribute adda numeric
@attribute reml numeric
@attribute remm numeric
@attribute rema numeric
@attribute cchl numeric
@attribute cchm numeric
@attribute ccha numeric
@attribute maxc numeric
@attribute avgc numeric
@attribute aage numeric
@attribute wage numeric
@attribute label {clean,defective}

@data
1,0,1,1,1,1,1,2,2,2,-1,-1,-1,25,25,6,6,clean
1,0,1,1,2,2,2,4,4,4,-2,-2,-2,25,25,6,6,clean
1,0,1,1,1,1,1,3,3,3,-2,-2,-2,25,25,6,6,clean
1,0,1,1,1,1,1,4,4,4,-3,-3,-3,25,25,6,6,clean
1,0,0,1,3,3,3,0,0,0,3,3,3,11,11,8,8,clean
1,0,1,1,1,1,1,2,2,2,-1,-1,-1,25,25,6,6,clean
1,0,0,1,0,0,0,2,2,2,-2,-2,-2,1,1,6,6,clean
1,0,1,1,2,2,2,4,4,4,-2,-2,-2,25,25,6,6,clean
1,0,1,1,1,1,1,4,4,4,-3,-3,-3,25,25,6,6,clean
1,0,1,1,2,2,2,3,3,3,-1,-1,-1,25,25,6,6,clean
1,0,0,1,8,2,2,200,50,50,-192,-48,-48,7,7,6.71,6.71,clean
1,0,0,1,5,5,5,5,5,5,0,0,0,13,13,8.43,8.43,clean
1,0,0,1,7,7,7,6,6,6,1,1,1,13,13,8.57,8.57,clean
1,0,0,1,104,104,104,48,48,48,56,56,56,3,3,4.43,4.43,clean
2,0,0,2,80,78,40,1,1,0,79,77,40,9,5,6.84,6.84,clean
1,0,0,1,2,2,2,0,0,0,2,2,2,1,1,8.75,8.75,clean
1,0,0,1,2,2,2,0,0,0,2,2,2,9,9,7.93,7.93,clean
2,0,0,1,1944,64,389,0,0,0,1944,470,389,12,8,8.04,8.04,defective
1,0,0,1,3,3,3,4,4,4,-1,-1,-1,13,13,8.57,8.57,clean
1,0,0,1,51,17,17,66,22,22,-15,-5,-5,10,10,3.14,3.14,clean
1,0,0,1,0,0,0,8,8,8,-8,-8,-8,8,8,6.07,6.07,clean
2,0,0,2,26,4,13,12,12,6,14,10,7,15,9,5.79,5.79,clean
1,0,0,1,17,17,17,14,14,14,3,3,3,15,15,5.71,5.71,clean
1,0,0,1,102,51,51,90,45,45,12,6,6,15,15,5.71,5.71,clean
1,0,0,1,24,24,24,25,25,25,-1,-1,-1,15,15,5.71,5.71,clean
1,0,0,1,13,13,13,217,217,217,-204,-204,-204,15,15,5.71,5.71,clean
1,0,0,1,12,12,12,79,79,79,-67,-67,-67,15,15,5.71,5.71,clean
1,0,0,1,0,0,0,126,126,126,-126,-126,-126,15,15,4.71,4.71,clean
1,0,0,1,0,0,0,185,185,185,-185,-185,-185,15,15,5.71,5.71,clean
2,0,0,2,107,4,54,0,0,0,107,103,54,15,9,6.24,6.24,clean
3,0,1,2,115,4,38,0,0,0,115,109,38,15,6,7.61,7.61,clean
1,0,0,1,142,142,142,33,33,33,109,109,109,15,15,5.71,5.71,clean
1,0,0,1,158,158,158,0,0,0,158,158,158,15,15,5.71,5.71,clean
1,0,0,1,0,0,0,100,100,100,-100,-100,-100,15,15,5.71,5.71,clean
1,0,0,1,0,0,0,127,127,127,-127,-127,-127,15,15,5.71,5.71,clean
1,0,0,1,30,30,30,29,29,29,1,1,1,29,29,2,2,clean
1,0,0,1,54,18,18,0,0,0,54,18,18,10,10,2.57,2.57,clean
1,0,0,1,42,42,42,42,42,42,0,0,0,21,21,5.8,5.8,clean
1,0,0,1,21,21,21,8,8,8,13,13,13,1,1,5.57,5.57,clean
4,0,1,3,178,6,44,204,21,51,-26,5,-6,21,8,6.02,6.02,clean
1,0,0,1,145,29,29,95,19,19,50,10,10,48,48,2.14,2.14,clean
2,0,0,2,14,2,7,10,7,5,4,9,2,5,3,3.83,3.83,clean
2,0,0,1,4,4,2,4,4,2,0,4,0,11,9,6.79,6.79,clean
2,0,1,2,11,4,4,15,6,5,-4,0,-1,2,2,7.48,7.48,clean
1,0,0,1,3,3,3,4,4,4,-1,-1,-1,13,13,8.5,8.5,clean
1,0,0,1,30,30,30,42,42,42,-12,-12,-12,48,48,2.14,2.14,clean
1,0,0,1,6,6,6,6,6,6,0,0,0,48,48,2.14,2.14,clean
1,0,0,1,71,71,71,43,43,43,28,28,28,48,48,2.14,2.14,clean
1,0,0,1,1,1,1,6,6,6,-5,-5,-5,1,1,6.52,6.52,clean
1,0,1,1,4,4,4,1,1,1,3,3,3,1,1,6.69,6.69,clean
1,0,1,1,40,10,10,20,5,5,20,5,5,11,11,7.26,7.26,defective
1,0,1,1,7,7,7,1,1,1,6,6,6,1,1,4.14,4.14,clean
1,0,0,1,22,22,22,4,4,4,18,18,18,48,48,2.14,2.14,clean
1,0,1,1,2,2,2,12,12,12,-10,-10,-10,5,5,6,6,clean
1,0,0,1,9,9,9,2,2,2,7,7,7,1,1,5.57,5.57,clean
1,0,0,1,52,13,13,120,30,30,-68,-17,-17,4,4,9.52,9.52,clean
1,0,0,1,18,18,18,2,2,2,16,16,16,9,9,8.48,8.48,clean
3,0,0,2,18,8,6,18,8,6,0,8,0,6,4,5.25,5.25,clean
4,0,2,3,70,5,18,10,8,2,60,32,15,6,2,6.45,6.45,clean
2,0,0,1,20,5,10,0,0,0,20,15,10,12,8,6.86,6.86,clean
2,0,1,1,61,51,30,20,10,10,41,41,20,1,1,6.46,6.46,clean
1,0,0,1,0,0,0,6,6,6,-6,-6,-6,13,13,6.62,6.62,clean
1,0,0,1,4,4,4,5,5,5,-1,-1,-1,1,1,2.09,2.09,clean
1,0,0,1,0,0,0,21,21,21,-21,-21,-21,8,8,4.86,4.86,clean
1,0,0,1,1850,1850,1850,0,0,0,1850,1850,1850,48,48,2.14,2.14,clean
1,0,0,1,14,14,14,1,1,1,13,13,13,48,48,2.14,2.14,clean
1,0,0,1,2,2,2,0,0,0,2,2,2,48,48,2.14,2.14,clean
1,0,0,1,0,0,0,2,2,2,-2,-2,-2,7,7,7.29,7.29,clean
1,0,1,1,23,23,23,0,0,0,23,23,23,1,1,8.46,8.46,clean
1,0,1,1,2,2,2,0,0,0,2,2,2,3,3,6,6,clean
1,0,0,1,0,0,0,3,3,3,-3,-3,-3,8,8,8,8,clean
1,0,0,1,6,6,6,6,6,6,0,0,0,21,21,6.33,6.33,clean
1,0,0,1,0,0,0,342,38,38,-342,-38,-38,9,9,6,6,clean
1,0,0,1,0,0,0,4,4,4,-4,-4,-4,8,8,8.19,8.19,clean
1,0,0,1,72,36,36,36,18,18,36,18,18,48,48,2.14,2.14,clean
2,1,0,1,188,77,47,46,23,12,142,77,36,11,9,3.29,3.29,clean
2,0,0,2,751,374,250,2,2,1,749,374,250,14,14,7.75,7.75,clean
2,1,0,1,465,76,31,9594,1066,640,-9129,76,-609,25,20,3.84,3.84,clean
