@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-3,5,7,9-11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute nloc numeric
@attribute label {defective,clean}

@data
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,343,1,103,clean
1,176,1,46,clean
1,187,1,40,clean
1,7298,1,179,clean
1,775,1,88,clean
1,65,1,14,clean
2,1200,2,43,clean
2,1230,2,7,clean
1,37,1,3,clean
1,37,1,3,clean
2,84,2,1,clean
2,1230,2,7,clean
1,66,1,35,clean
4,19,8,478,defective
2,10,8,457,defective
8,7056,13,358,defective
3,6,3,979,clean
3,11,3,1013,defective
3,49,4,192,clean
1,1296,2,3,clean
1,1296,2,3,clean
2,9,4,224,clean
1,6875,1,178,clean
1,1296,2,3,clean
1,66,1,0,clean
1,153,1,0,clean
1,68,1,0,clean
1,100,1,30,clean
1,9,1,150,clean
1,9,1,150,clean
1,62,1,0,clean
1,297,1,0,clean
1,245,1,0,clean
2,4,3,59,clean
1,6296,2,857,clean
1,80,1,0,clean
1,206,1,0,clean
3,62,3,400,clean
1,4,1,388,clean
2,21,2,83,clean
1,35,1,4,clean
1,108,1,62,clean
1,130,1,74,clean
1,55,1,19,clean
1,57,1,9,clean
1,57,1,20,clean
2,84,2,1,clean
2,165,2,42,clean
1,61,1,0,clean
1,75,1,248,clean
1,43,1,0,clean
1,48,1,11,clean
1,84,1,36,clean
1,65,1,26,clean
1,50,1,13,clean
1,13323,1,5900,clean
1,13323,1,5900,clean
1,250,1,0,clean
1,6,1,0,clean
2,125,2,50,defective
1,4,1,505,clean
3,120,4,417,defective
1,271,1,0,clean
1,3,1,1010,clean
1,813,2,735,clean
1,813,2,735,clean
1,78,1,0,clean
1,63,1,18,clean
1,284,1,0,clean
1,240,1,0,clean
1,143,1,0,clean
1,271,1,0,clean
1,97,1,58,clean
1,9,1,7,clean
2,9,2,7,clean
1,182,1,0,clean
1,228,1,58,clean
1,1426,1,74,defective
1,78,1,43,clean
1,29,1,4,clean
1,152,1,90,clean
1,64,1,4,clean
1,53,1,2,clean
1,44,1,11,clean
1,37,1,1,clean
1,256,1,137,clean
1,1,1,328,clean
1,3,1,60,clean
1,115,1,19,clean
1,1,1,62,clean
1,819,1,817,clean
1,1830,1,30,clean
1,4,1,38,clean
1,20076,1,133,clean
1,2,1,1,clean
1,7,1,47,clean
1,4,1,596,clean
2,262,3,189,clean
1,118,1,0,clean
6,68,6,415,clean
4,11,4,407,clean
1,20076,1,133,clean
1,1205,1,615,clean
1,2,2,68,clean
1,3,1,98,clean
1,250,1,0,clean
1,695286,1,5732,clean
1,1731,1,937,defective
1,1,1,6,clean
1,6,1,705,clean
1,14,1,368,clean
1,192,5,71,clean
1,192,1,85,clean
1,215,1,128,clean
1,71,1,12,clean
1,191,1,92,clean
1,110,1,42,clean
1,190,1,103,clean
1,92,1,59,clean
1,76,1,7,clean
1,674,1,513,clean
1,369,1,238,clean
1,1035,1,855,clean
1,1159,1,333,clean
1,350,1,256,clean
1,908,1,595,clean
1,27,1,5,clean
1,64,1,26,clean
1,8763,1,1146,clean
1,108,1,36,clean
1,331,1,258,clean
1,27189,1,744,clean
1,1960,1,155,clean
1,171468,2,207,defective
1,7056,1,629,clean
1,3,1,40,clean
1,12,1,12,clean
1,136,1,0,clean
1,18,1,35,clean
1,35,1,18,clean
1,90,1,0,clean
1,30,1,45,clean
1,40,1,49,clean
1,74,1,0,clean
1,84,1,0,clean
1,350,1,0,clean
2,84,3,116,clean
1,8,1,42,clean
2,84,9,2,clean
1,9,1,41,clean
1,4469,1,559,clean
1,190,1,61,clean
1,85,1,35,clean
1,108,1,0,clean
1,14739,1,285,clean
1,79,1,16,clean
1,59,2,8,clean
1,4140,1,327,clean
1,3924,2,468,clean
2,59,11,1,clean
1,98,1,0,clean
1,36,1,17,clean
1,61,1,0,clean
1,343,1,103,clean
1,614,1,0,clean
1,255,1,0,clean
2,161,2,28,clean
1,1,1,846,clean
1,46948,1,752,clean
1,3765,1,0,clean
1,180,1,503,clean
1,9,1,167,clean
1,204,1,24,clean
1,126,1,308,clean
1,13,1,190,clean
1,196,4,304,clean
1,224,1,9,clean
1,204,1,24,clean
1,1,1,44,clean
1,1,1,29,clean
1,1,1,46,clean
1,50,1,36,clean
1,255,1,0,clean
1,284,1,0,clean
1,3611,1,0,clean
1,167,1,0,clean
1,4,1,64,clean
1,569,1,0,clean
1,69,1,0,clean
1,1296,1,3,clean
1,171,1,0,clean
1,37,1,0,clean
1,87,1,0,clean
1,181,1,0,clean
1,1,1,3,clean
1,84,1,21,clean
3,84,3,21,clean
3,84,3,21,clean
1,1,1,102,clean
1,101,1,50,clean
1,101,1,50,clean
1,18,1,145,clean
1,8,1,72,clean
1,8,1,72,clean
1,41,1,18,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,12,1,797,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,1,5732,clean
1,695286,3,5732,clean
2,221,2,567,clean
3,127,3,604,clean
1,695286,1,5732,clean
1,695286,3,5732,clean
1,440,1,174,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,1904,1,397,clean
1,58,1,10,clean
1,1205,1,615,clean
1,147,1,45,clean
1,2377,1,820,clean
1,1095,1,348,clean
1,2179,1,959,clean
1,397,1,262,clean
1,94,1,16,clean
1,4399,1,2669,clean
1,246,1,101,clean
1,1847,1,953,clean
1,46,1,0,clean
1,279,1,182,clean
1,511,1,204,clean
1,162,1,40,clean
2,663,2,318,clean
1,1,1,98,clean
1,663,1,319,clean
1,663,1,319,clean
1,663,1,319,clean
1,69,1,0,defective
1,1720,1,4555,clean
1,2640,1,443,clean
1,93,1,1,clean
1,52,1,500,clean
1,540,1,731,clean
1,52,1,500,clean
1,540,1,731,clean
1,52,1,500,clean
1,540,1,731,clean
1,52,1,500,clean
1,540,1,731,clean
1,52,1,500,clean
1,540,1,731,clean
1,52,1,500,clean
1,540,1,731,clean
1,540,1,731,clean
1,52,1,500,clean
1,540,1,731,clean
1,540,1,731,clean
1,540,1,731,clean
1,19,1,13,clean
1,4,2,25,clean
1,2,1,1,clean
1,87,1,0,clean
1,343,1,103,clean
2,311374,4,193,clean
1,50,1,36,clean
1,4,1,188,clean
1,4,1,188,clean
1,189,1,0,clean
1,110,1,4,clean
1,1,1,1,clean
1,110,1,4,clean
1,208,1,0,clean
3,7,3,550,clean
1,5,2,1301,clean
1,25,1,482,clean
2,408,2,717,clean
2,36,2,180,clean
2,36,2,180,clean
1,213,1,0,clean
1,137,1,0,clean
14,267,15,995,defective
14,139,17,1351,defective
1,153671,1,344,clean
3,2,3,16,clean
1,81,1,146,clean
1,61,1,0,clean
1,37,1,1,clean
2,70,2,467,defective
1,37,1,1,clean
3,1273,4,247,defective
1,369,1,90,clean
1,24,1,0,clean
1,3611,1,0,clean
2,2030,2,45,clean
2,175,2,1,clean
2,129690,2,496,clean
2,864,2,7,clean
1,233,1,0,clean
1,167832,1,415,clean
1,80,1,0,clean
1,31,1,0,clean
1,1484,1,52,clean
1,375,1,0,clean
1,471,1,0,clean
1,674,2,0,clean
1,18828,1,578,clean
1,11,1,584,clean
1,94,1,0,clean
1,94,1,0,clean
1,83,1,0,clean
1,63,1,0,clean
1,435,1,0,clean
1,101,1,50,clean
1,150,1,102,clean
1,93,1,0,clean
1,69,2,0,clean
1,25,1,0,clean
1,154,1,0,clean
1,220,1,80,clean
1,164,1,0,clean
1,637,1,0,clean
1,188,1,0,clean
1,3611,1,0,clean
1,118,1,0,clean
1,220,1,80,clean
1,4,1,177,clean
2,16,2,251,defective
1,1424,1,878,defective
1,5760,1,7426,clean
1,2470,1,481,clean
2,389,2,1238,clean
3,770,4,1032,clean
2,8,4,85,clean
1,2312,1,875,clean
2,2,2,2589,clean
1,271,1,0,clean
1,271,1,0,clean
1,271,1,0,clean
1,161,1,28,clean
1,491,1,0,clean
1,284,1,0,clean
1,1320,2,144,defective
1,68,1,317,clean
1,68,1,317,clean
1,68,1,317,clean
1,68,1,317,clean
4,4365,5,318,defective
2,2,2,436,clean
1,37,1,1,clean
2,70,2,467,defective
1,440,1,174,clean
1,113,1,49,clean
1,45,1,994,clean
1,437,1,1039,clean
2,5839,2,1602,clean
1,171468,2,740,clean
1,48,1,570,clean
2,1794,2,622,clean
2,55,2,1157,clean
1,4,2,55,clean
1,51,1,1,clean
1,261080,1,3435,clean
2,422,2,1754,clean
2,17,2,2019,clean
1,117,1,51,clean
1,282,1,1400,clean
2,171468,5,389,defective
1,171468,2,740,clean
1,20076,2,191,clean
1,5390,4,331,clean
1,64,1,1735,clean
2,15,2,34,clean
2,2,2,34,defective
2,120,2,552,clean
2,175,2,1,clean
2,864,2,7,clean
1,16,1,1414,defective
1,46945,1,400,clean
1,6026,1,233,clean
1,4,1,1783,clean
3,4,4,2238,clean
1,11,1,463,clean
2,5,2,901,clean
1,676,1,1210,clean
5,401,7,3014,clean
6,340,9,1497,clean
1,20304,1,6471,clean
2,25527,2,5507,clean
1,289872,1,1105,defective
1,5643,1,1149,clean
1,61,1,0,clean
1,156,1,543,clean
1,1143,2,488,clean
1,273,1,0,clean
1,3430,1,304,clean
1,614,9,0,clean
1,93,1,0,clean
1,614,3,0,clean
1,614,3,0,clean
1,637,1,0,clean
2,24681823,2,4419,clean
2,24681823,4,2590,clean
2,3112960,4,1239,clean
2,18,2,4,clean
1,284,1,0,clean
1,1731,1,937,defective
1,13,1,7452,clean
1,1159,1,333,clean
3,7938,3,340,defective
2,7938,2,436,defective
1,40,1,388,clean
3,2400,3,257,defective
1,264,1,282,clean
2,48,2,1692,defective
4,6,6,1353,defective
3,300533,4,2689,defective
1,2760,1,1138,clean
1,2760,1,1138,clean
1,6966,1,1144,clean
1,25,1,179,clean
1,2400,1,245,defective
1,264,1,282,clean
3,980,3,884,clean
1,168,1,557,clean
1,168,1,557,clean
1,8,1,20,clean
1,4,1,7323,clean
2,16,2,251,defective
1,168,1,557,clean
1,1424,1,878,defective
1,8932,1,881,clean
1,409,1,244,clean
2,296,2,382,clean
1,2760,1,1138,clean
1,544,1,7322,clean
1,136,1,7488,clean
1,4066,1,7553,clean
3,360,3,1062,clean
5,24,5,1142,defective
2,462,2,302,defective
1,33558,1,1336,clean
4,7,5,241,clean
1,5576,1,152,clean
1,5576,1,152,clean
1,1731,1,937,defective
1,1731,1,937,defective
1,551,2,480,clean
2,460,2,962,clean
4,1966,5,1207,defective
1,3510,1,432,clean
2,129,2,24,defective
1,5760,1,7426,clean
1,95,1,309,clean
2,1731,2,943,defective
1,1731,1,937,defective
1,1143,1,873,clean
2,2238180,4,700,clean
2,24681823,2,4419,clean
3,310337,9,1419,clean
2,2760,2,1141,clean
1,4731,1,7365,clean
1,1424,1,878,defective
1,1424,1,878,defective
6,1034,7,824,defective
1,4,1,177,clean
3,49,3,2986,defective
2,348,2,3000,clean
1,3620,2,2522,clean
1,35912,2,2601,clean
2,110,2,290,clean
2,80,2,3236,clean
5,1731,5,957,defective
1,2363,1,574,clean
1,92,1,663,clean
1,360,1,905,clean
5,360,5,1288,defective
1,14,1,2099,defective
3,3208,3,943,clean
3,4384,3,2992,defective
1,235,1,1385,clean
1,961,1,1388,clean
2,23,2,365,defective
1,1136,1,818,defective
1,143,1,910,clean
1,55718,2,381,defective
4,1034,4,765,defective
1,1731,1,937,defective
2,3679,2,936,defective
1,72,1,942,clean
2,608,2,468,defective
1,321,1,0,clean
1,126,1,193,clean
2,9,2,324,clean
2,252,2,328,clean
1,10878,1,951,clean
3,135,3,4125,defective
1,3888,1,4165,clean
1,11663,1,7363,clean
1,61761,1,1392,clean
1,2312,1,875,clean
2,1150,2,862,defective
1,96,1,142,clean
2,48,2,146,defective
1,1,1,556,clean
2,6405,2,3567,clean
1,7040,1,1136,clean
1,8932,1,881,clean
1,55,1,1088,clean
2,23,2,83,clean
1,4,1,177,clean
1,70,1,146,clean
2,182,2,290,clean
1,1424,1,878,defective
1,8932,1,881,clean
1,10878,1,951,clean
2,8,2,148,clean
1,631,1,371,clean
1,1731,1,937,defective
1,1731,1,937,defective
1,355,5,0,clean
1,8932,1,881,clean
6,468,8,717,defective
1,4,1,228,clean
1,1936,1,1442,clean
1,80,1,629,clean
1,440,1,174,clean
1,440,1,174,clean
2,588,2,4683,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
1,5929245,1,12752,clean
11,478,13,1395,clean
22,106,34,495,defective
1,810,2,749,defective
2,24681823,2,4419,clean
1,440,1,174,clean
1,173,10,832,defective
2,600,4,469,defective
2,1,2,8,clean
2,140,2,877,clean
1,5,1,701,clean
1,171468,1,217,clean
3,1426,3,59,defective
2,144,3,96,clean
1,756,1,236,clean
2,171468,3,1527,defective
1,171468,2,123,clean
1,3765,1,0,clean
1,195,1,73,clean
1,1058,1,3415,clean
1,324,1,194,clean
1,15,2,150,clean
1,2,1,347,clean
3,90,3,251,defective
1,45,1,994,clean
8,15,12,103,defective
2,2,2,35,clean
1,77,1,3725,clean
4,155,5,1833,clean
5,46,5,978,defective
3,274,4,815,clean
4,1113,5,214,defective
1,56,1,3,clean
5,47,6,239,defective
3,1113,4,190,defective
3,1113,4,190,defective
2,1520,2,366,defective
3,1113,4,190,defective
2,1520,2,366,defective
1,7,1,346,clean
2,2018,2,870,clean
3,1,3,1173,clean
2,15,2,124,clean
3,301,3,775,defective
2,53,3,687,clean
3,517,4,667,clean
5,1322,5,3784,defective
5,1044,6,1938,clean
1,729,1,2967,clean
3,127,5,1272,defective
1,813,6,320,clean
1,17,1,311,clean
1,95,1,309,clean
3,16,3,270,defective
2,56,3,474,defective
1,3,1,70,clean
1,8,1,72,clean
1,195,1,73,clean
1,1058,1,3415,clean
1,4,3,574,clean
1,15,1,2913,clean
5,28,6,4298,defective
3,41,9,341,clean
5,7,46,981,clean
1,4,1,9,clean
1,30,1,5241,clean
3,6,3,1338,clean
1,14,1,61,clean
1,1296,2,3,clean
1,1296,2,3,clean
1,29,1,54,clean
2,2,3,9,clean
1,1296,2,3,clean
1,1296,2,3,clean
2,64,2,3775,clean
3,8,3,2046,clean
1,4950,1,1352,clean
2,3207,3,971,clean
1,3765,1,0,clean
1,18438,1,3041,clean
1,3765,1,0,clean
3,2400,3,254,defective
1,264,1,282,clean
1,4347,1,0,clean
1,11286,1,401,clean
1,726,1,534,clean
1,24,1,569,clean
4,371,4,3775,defective
2,117584,2,3325,clean
1,195,1,73,clean
1,195,1,73,clean
4,2,4,1727,clean
1,2124,7,917,clean
17,253,23,1570,defective
14,31,18,1651,defective
1,18438,4,971,clean
2,61,3,1232,clean
1,240,3,1026,clean
9,3,11,394,defective
9,24,11,628,defective
2,3775,2,1013,clean
1,1,1,949,clean
16,6486,26,796,defective
13,159,19,886,defective
2,171468,2,229,clean
1,9,4,369,clean
1,1,5,287,clean
1,171468,2,740,clean
1,11,1,67,clean
2,6676,2,539,defective
1,650,1,2305,clean
4,164,4,703,clean
1,18438,1,3041,clean
1,3765,1,0,clean
4,18,5,1098,clean
1,1058,1,3415,clean
1,4104,1,1204,clean
2,42,7,853,clean
1,9,1,1373,clean
1,16,1,186,clean
4,1282,6,314,defective
9,9,9,1381,clean
3,15,3,38,clean
4,7,4,56,clean
6,399,10,293,defective
1,27,1,208,clean
1,1558,2,138,clean
1,14,1,3,clean
2,700,2,1762,clean
10,132,23,207,defective
2,553,2,266,defective
1,56,2,326,clean
1,332,1,696,defective
3,442,3,241,clean
1,841,1,117,clean
4,212,14,72,defective
39,21,46,198,defective
1,5,1,17,clean
3,163,4,110,defective
1,1440,7,339,defective
4,100,13,436,defective
1,2261,1,386,clean
8,405,14,188,defective
4,81,5,179,clean
7,54,14,243,defective
6,26,11,338,defective
10,10,17,631,defective
2,265,5,149,clean
2,89,3,261,clean
1,15,2,234,clean
6,80,7,418,defective
13,102,14,243,defective
15,55,18,274,defective
1,4,1,58,clean
16,46,38,241,defective
3,32,3,682,clean
15,16,20,190,defective
15,11,19,228,defective
2,50,2,685,clean
2,50,2,685,clean
5,74,5,683,clean
1,32,1,676,clean
3,56,3,699,defective
16,88,32,438,defective
12,11,16,348,defective
2,140,6,148,defective
4,122,6,336,clean
1,64,1,49,clean
1,81,1,117,clean
1,3,1,650,clean
1,7,1,685,clean
3,3,3,685,clean
2,3,2,667,clean
2,32,2,402,clean
18,109,39,382,defective
4,58,7,424,defective
7,147,11,339,defective
1,169,1,13,clean
1,6,4,413,clean
3,208,7,246,clean
7,427,14,333,defective
6,6480,7,213,defective
6,29,23,291,defective
1,11245,1,316,clean
2,1793,2,261,clean
9,140,15,286,defective
2,61,2,2,clean
2,61,2,2,clean
2,61,2,2,clean
2,61,2,2,clean
18,620,39,209,defective
3,161,4,528,defective
1,1,1,356,clean
6,120,6,240,defective
2,46,4,437,defective
8,2,13,244,defective
20,48,49,274,defective
4,983,5,237,defective
2,94514,10,174,defective
1,234,2,273,clean
2,378,3,43,clean
1,1,1,221,clean
1,215,1,80,clean
15,87,21,1977,defective
1,19,1,89,clean
1,13,1,19,clean
1,10,1,21,clean
1,112,1,2818,defective
1,21,1,266,clean
1,396,1,1032,clean
1,96,1,301,clean
1,40,1,13,clean
1,1155,1,638,clean
2,32,3,59,clean
1,638,1,712,clean
1,120,1,75,clean
7,15,7,929,clean
2,2132,3,1738,defective
1,36,1,766,clean
4,166,4,491,clean
1,234,1,2236,clean
5,2296,5,711,defective
12,62,12,1531,defective
1,37,1,271,clean
1,9,1,2815,clean
2,69,2,39,clean
1,4032,1,1469,clean
1,34,1,61,clean
7,972,8,2064,clean
6,1768,6,164,defective
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,24,1,15,clean
1,1155,1,1296,clean
1,166,2,84,clean
1,1472,1,237,clean
1,1472,1,237,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
1,172323956,1,15389,clean
