@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-3,5,7,9-11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute nloc numeric
@attribute label {defective,clean}

@data
3,11,3,11,clean
6,16,12,235,defective
12,42,15,2088,defective
1,24,2,1267,clean
1,4,1,216,clean
3,67,3,1048,clean
6,57,10,601,clean
4,13,13,373,defective
6,266,12,1955,defective
5,34,5,512,defective
6,123,10,465,clean
1,4,1,2239,clean
1,6,1,671,clean
1,5,2,557,clean
1,806,1,478,defective
1,1947,1,500,clean
1,244,1,14,clean
1,20525,1,5808,clean
1,4,1,179,clean
1,244,2,14,clean
1,4,1,77,clean
1,8420,1,3240,defective
1,24,1,175,clean
1,11,1,40,clean
2,3,2,44,clean
2,66,2,8,clean
1,12,1,863,clean
1,8520,1,604,clean
1,1947,1,500,clean
2,15,2,958,defective
2,23,2,1151,clean
1,4,1,218,clean
1,107,1,0,clean
2,37,2,1457,clean
1,1851,1,0,clean
1,78,1,20,defective
2,578,6,350,defective
1,10318,3,208,defective
2,578,6,350,defective
1,78,1,20,defective
2,578,6,156,defective
1,42,2,336,clean
2,31320,3,232,defective
1,38,1,0,clean
1,192,1,174,clean
1,2759,2,736,defective
1,2759,2,736,defective
1,337,1,0,clean
1,2759,2,586,defective
1,2759,2,586,defective
1,20,2,15,clean
1,38,1,22,clean
1,4,1,183,clean
12,288,14,914,defective
1,735124,1,561,clean
3,368,3,762,clean
9,288,11,806,defective
1,735124,1,561,clean
1,1681,1,718,clean
8,288,10,832,clean
1,735124,1,561,clean
6,288,8,872,clean
1,735124,1,561,clean
7,288,9,880,defective
1,735124,1,561,clean
9,62,11,1197,clean
1,14,1,113,clean
1,1187,1,949,defective
1,1187,1,949,defective
1,238,1,43,clean
1,2295,1,98,clean
1,2295,1,98,clean
1,4664,1,1840,defective
1,16,1,428,clean
2,4,3,1482,clean
1,54,1,852,clean
8,21,8,1423,defective
20,147,34,567,defective
5,28,5,410,clean
2,34,2,749,clean
4,556,5,717,clean
5,1,7,1246,defective
1,2916,1,492,clean
3,2732,3,5001,defective
1,1,1,250,clean
1,1,1,717,clean
1,40,2,2051,clean
1,47670,1,2550,defective
2,3,2,2634,clean
1,33,1,717,clean
2,276,2,765,clean
1,774,1,764,clean
1,537,1,949,clean
3,1501,3,592,defective
2,8,2,456,defective
1,169,1,2410,clean
1,451,1,5603,clean
2,38,2,448,clean
1,43,1,533,clean
3,1,3,282,clean
2,17280,2,408,clean
2,1501,2,896,clean
1,172860,1,2052,defective
2,768,2,695,clean
1,5,1,556,clean
1,1187,1,949,defective
2,43,2,343,clean
1,144,1,2143,defective
1,154,1,2218,defective
1,2079,1,1711,defective
1,386,1,247,clean
1,31759,1,1410,clean
2,21,15,322,clean
1,68,1,39,clean
1,11562,1,284,clean
1,261057,1,865,clean
1,177,2,51,defective
2,277,4,484,defective
2,36,2,969,clean
1,1,1,3419,defective
1,1,1,2994,defective
1,736,1,4053,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,1248,1,499,clean
1,231,1,273,clean
1,3053,1,242,defective
1,227,1,120,defective
1,7878,1,485,clean
1,7878,1,485,clean
1,648,1,405,clean
1,38,1,8,clean
1,7705,2,172,clean
1,1470,1,261,defective
1,5720,1,311,clean
1,2,1,22,clean
1,551,1,145,clean
1,551,1,145,clean
1,551,1,145,clean
1,1288,4,358,defective
3,202,3,1231,defective
1,49,1,1202,defective
1,24,1,1212,clean
1,55,1,1202,clean
1,41132,1,1259,clean
1,4,1,1261,clean
1,41132,1,1259,clean
1,206,2,88,clean
1,166,1,105,clean
1,335,1,186,defective
1,335,1,186,defective
2,168,3,340,clean
2,12,2,43,clean
1,73,1,22,clean
1,34,2,2729,defective
2,5,3,2729,defective
1,7,1,35,clean
1,335,1,186,defective
1,322,1,136,clean
1,415,1,279,defective
3,1019,3,838,clean
1,16,2,182,clean
1,60,1,1019,clean
1,351,1,210,defective
1,8,1,211,clean
3,287,10,519,defective
1,905,2,690,defective
2,876,2,570,defective
2,287,7,399,defective
1,905,2,690,defective
1,351,1,210,defective
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
2,22401,2,14408,clean
2,22401,2,14408,clean
1,22401,1,14408,clean
1,22401,1,14408,clean
