@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-3,5,8,11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {defective,clean}

@data
2,2365,4,258,25,136,defective
2,16,3,259,86,177,defective
1,21,1,299,105,3,clean
1,110,1,1742,0,11,clean
2,5,7,319,43,22,defective
1,454,1,258,66,454,defective
1,31759,1,358,321,349,clean
3,27,4,358,21,70,defective
8,257,10,299,88,162,defective
2,180,3,1742,9,7,clean
6,27,7,319,40,16,defective
6,2665,13,258,106,249,defective
1,510,2,259,93,264,defective
1,1,1,259,0,1,clean
1,1947,1,299,122,1947,clean
1,76,2,358,33,130,defective
2,18,2,1742,50,6,defective
1,81,1,258,40,9,defective
2,3,7,258,34,34,defective
1,86,1,1742,0,86,clean
1,100,1,358,45,2,clean
1,12,6,299,12,16,clean
3,18,3,1742,46,39,clean
1,1,4,258,18,1,clean
12,189,18,358,97,71,defective
1,9666,1,299,173,179,defective
5,51,5,1742,114,20,defective
2,208,3,319,33,174,defective
4,102,8,258,65,36,defective
1,510,2,259,93,264,defective
1,1649,1,1742,0,1649,clean
1,492,1,358,177,4,clean
1,4,1,299,178,2,defective
1,164,1,319,91,4,clean
1,2500,2,258,135,100,defective
1,107,1,1742,0,107,clean
1,21,1,299,105,3,clean
1,20128,2,258,113,148,defective
1,185,1,1742,8,185,clean
1,4416,1,358,26,184,defective
1,12,1,1742,49,0,clean
1,608,1,258,49,38,defective
5,219,6,358,113,153,defective
2,6830,3,258,128,72,defective
4,1066,6,358,82,243,defective
1,728,3,299,45,26,clean
1,322,1,1742,41,322,defective
7,208,12,319,44,112,defective
1,1,2,258,58,1,clean
6,13,11,358,54,29,defective
7,87,11,299,85,76,defective
8,44,11,1742,136,25,defective
5,203,15,258,65,54,defective
6,12,7,259,78,78,defective
3,51,3,299,176,8,clean
1,209,1,258,29,209,clean
1,510,2,259,93,264,defective
1,76,2,258,111,69,defective
3,35,6,299,122,6,defective
1,209,1,258,29,209,clean
1,510,2,259,93,264,defective
1,1424,1,1742,0,1424,clean
1,56,2,1742,0,5331,clean
10,942,23,258,101,200,defective
1,107,1,1742,0,107,clean
1,1947,1,299,122,1947,clean
1,4,6,299,30,2,clean
1,1,1,299,68,1,clean
1,648,1,358,91,36,clean
1,18,3,358,70,11,clean
1,49770,1,299,86,315,defective
1,107,1,1742,0,107,clean
11,58,13,358,39,57,clean
9,42,20,299,172,1198,defective
9,5,13,1742,28,137,defective
5,193,10,319,35,46,defective
3,11,3,258,0,2,clean
6,16,12,259,38,200,defective
12,42,15,358,432,15,defective
1,24,2,299,299,7,clean
1,4,1,1742,27,4,clean
3,67,3,259,266,26,clean
6,57,10,358,143,22,clean
4,13,13,299,56,232,defective
6,266,12,1742,596,3905,defective
5,34,5,319,62,26,defective
6,123,10,258,139,20,clean
1,4,1,259,592,4,clean
1,6,1,299,124,3,clean
1,5,2,259,110,1,clean
1,806,1,1742,144,806,defective
1,1947,1,299,122,1947,clean
1,244,1,299,0,2,clean
1,20525,1,1742,0,20525,clean
1,4,1,259,39,2,clean
1,244,2,299,0,2,clean
1,4,1,358,2,4,clean
1,8420,1,258,763,421,defective
1,24,1,358,0,6,clean
1,11,1,299,0,0,clean
2,3,2,258,0,0,clean
2,66,2,259,0,68,clean
1,12,1,299,208,12,clean
1,8520,1,299,121,142,clean
1,1947,1,299,122,1947,clean
2,15,2,299,286,17,defective
