@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-3,5,8,11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {defective,clean}

@data
1,112,1,1742,5,112,clean
1,69,1,358,0,69,clean
1,69,1,1742,0,0,clean
1,1172296,2,1742,110,2318,clean
1,1172296,2,1742,110,2318,clean
1,1172296,2,1742,110,2318,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,1172296,4,1742,110,2318,clean
1,1172296,4,1742,110,2318,clean
1,1172296,6,1742,110,2318,clean
1,1172296,2,1742,110,2318,clean
1,1172296,2,1742,110,2318,clean
1,1172296,2,1742,110,2318,clean
1,11663,1,1742,0,107,clean
1,1172296,2,1742,110,2318,clean
1,1172296,2,1742,110,2318,clean
1,1172296,2,1742,110,2318,clean
1,1172296,2,1742,110,2318,clean
1,1172296,2,1742,110,2318,clean
1,1172296,2,1742,110,2318,clean
1,1172296,2,1742,110,2318,clean
1,18,1,1742,0,6,clean
1,88,1,319,0,11,clean
1,88,1,319,0,11,clean
1,88,1,319,0,11,clean
1,7,1,319,300,7,clean
1,88,1,319,0,11,clean
1,7,1,319,300,7,clean
1,88,1,319,0,11,clean
1,88,1,319,0,11,clean
2,4659,2,1742,102,247,defective
1,88,1,319,0,11,clean
1,88,1,319,0,11,clean
1,88,1,319,0,11,clean
1,18,1,1742,0,6,clean
1,18,1,1742,0,6,clean
1,18,1,1742,0,6,clean
1,88,1,319,0,11,clean
1,18,1,1742,0,6,clean
1,46782,1,258,17,207,clean
1,46782,1,258,17,207,clean
1,8,2,358,283,2,clean
5,3,14,319,178,17,clean
2,6,3,259,103,400,clean
1,137,1,319,8,137,clean
1,36,2,358,37,27,clean
2,3,2,299,77,10,clean
1,688,1,299,0,86,defective
1,5,1,299,0,0,clean
1,455,1,259,171,35,clean
1,137,1,358,15,137,clean
9,59,9,358,152,14,defective
6,10,7,299,147,6,defective
11,37,20,1742,179,144,defective
7,57,7,319,217,24,defective
14,281,15,258,175,77,defective
14,16,18,259,216,154,defective
1,7,1,358,0,1,clean
1,10607,1,1742,0,10607,clean
1,40,1,358,49,10,clean
1,40,1,358,49,10,clean
2,10607,2,1742,27,5307,clean
1,107,1,1742,0,107,clean
1,37,1,299,0,0,clean
2,292,2,319,2,77,defective
1,6643,4,319,125,44,clean
1,8420,1,258,763,421,defective
2,42513,2,259,796,191,clean
1,2960,1,319,31,74,clean
1,2960,1,319,31,74,clean
1,2960,1,319,31,74,clean
1,37,1,358,714,37,clean
1,190992,1,299,758,692,clean
4,8781,4,319,884,174,defective
2,651,2,258,917,188,clean
1,324384,1,259,853,496,clean
1,9,1,258,0,3,clean
1,14,1,358,241,7,clean
1,760,1,319,216,40,clean
1,2,1,258,313,2,clean
1,5,1,259,131,0,clean
1,99,1,258,0,99,clean
1,99,1,258,0,99,clean
1,140,1,1742,0,140,clean
1,185,1,1742,8,185,clean
1,185,1,1742,8,185,clean
1,185,1,1742,8,185,clean
1,185,1,1742,8,185,clean
1,185,1,1742,8,185,clean
1,185,1,1742,8,185,clean
1,185,1,1742,8,185,clean
1,185,1,1742,8,185,clean
1,185,1,1742,8,185,clean
1,185,1,1742,8,185,clean
1,193,1,1742,14,193,clean
1,185,1,1742,8,185,clean
1,107,1,1742,0,107,clean
1,107,1,1742,0,107,clean
1,56,1,1742,0,56,clean
1,107,1,1742,0,107,clean
1,244,1,299,0,2,clean
1,206,1,358,21,206,clean
1,180,1,358,10,180,defective
1,177,1,358,15,177,clean
1,106,1,358,8,106,clean
1,127,1,358,14,127,clean
1,64,1,358,0,64,clean
1,130,1,358,9,130,defective
1,223,1,358,18,223,defective
1,258,1,358,20,258,clean
1,134,1,358,11,134,defective
1,135,1,358,14,135,clean
1,83,1,358,8,83,clean
1,9,1,1742,0,3,clean
1,1,1,259,0,1,clean
1,26,1,1742,0,0,clean
1,8100,1,319,2,90,defective
1,8100,1,319,2,90,defective
1,15,1,358,0,0,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,3875235,1,1742,220,2839,clean
1,112727,1,299,15,323,clean
1,883060,1,258,267,670,defective
1,2,1,258,2208,2,clean
1,4,1,258,805,4,clean
1,3828,1,259,838,66,defective
1,4,1,258,805,4,clean
1,3828,1,259,838,66,defective
2,412,2,319,137,64,clean
1,5893,1,259,19,71,clean
1,4,1,1742,681,0,clean
1,56048,1,259,726,496,defective
1,4,1,358,114,2,clean
1,9805,1,259,298,265,defective
3,7828,3,299,132,139,clean
1,100,1,1742,2112,25,clean
1,1872,1,259,661,72,clean
1,445,1,259,64,89,clean
1,1521,3,259,261,64,defective
1,768,1,258,88,768,clean
1,1501,1,1742,173,1501,clean
5,29,14,358,466,78,clean
2,1,2,299,381,1,clean
5,109,8,1742,476,105,defective
1,5106,1,319,316,74,defective
3,3342,4,258,173,194,defective
2,10,5,259,180,437,defective
1,6,1,358,371,0,clean
1,40,2,358,27,10,clean
1,1470,2,1742,0,1447,clean
2,84,2,319,31,67,clean
1,7,1,299,39,7,clean
1,4,1,259,39,2,clean
1,20525,1,1742,0,20525,clean
1,335,2,259,19,335,defective
1,1957,1,358,235,19,clean
2,14,2,358,69,3,clean
1,748,1,319,51,748,clean
1,77,1,259,48,7,clean
1,35,1,358,634,5,clean
1,24,1,299,637,8,clean
1,8,1,258,206,2,clean
1,95,1,259,234,19,clean
1,106,1,258,8,106,clean
1,293,1,1742,0,0,clean
4,473,4,259,706,131,defective
2,26,2,1742,628,13,clean
1,35,1,299,186,7,clean
1,4,2,1742,144,4,clean
1,17,1,319,192,17,clean
1,5,1,258,104,5,clean
1,6,1,319,146,0,clean
1,300,1,1742,83,25,clean
1,24,1,358,147,12,clean
1,5,1,1742,43,0,clean
2,45,2,259,438,25,defective
1,251,1,259,31,251,clean
1,303,4,259,30,320,defective
1,237,1,259,29,237,clean
3,303,4,259,18,107,defective
1,303,2,259,17,193,defective
2,303,4,259,22,165,defective
2,303,3,259,19,137,defective
3,5,3,259,83,94,clean
1,341,1,259,44,341,clean
1,44,1,1742,0,44,clean
1,31759,1,358,321,349,clean
1,5,1,358,49,5,clean
1,31759,1,358,321,349,clean
1,6643,2,319,0,91,clean
1,441,1,258,83,21,clean
1,806,2,1742,228,403,defective
1,47,1,319,5,47,defective
1,8,1,258,4,0,clean
1,32,1,1742,320,32,clean
1,8420,1,258,763,421,defective
1,321,1,259,770,0,clean
3,8,3,258,762,9,clean
1,60,1,1742,837,6,clean
2,40641,2,319,882,307,defective
1,55890,1,258,934,345,clean
1,324384,1,259,853,496,clean
1,2,1,259,0,2,clean
1,2,1,258,0,0,clean
1,2464,1,259,338,56,clean
6,62,7,358,100,72,defective
2,1,7,299,2,2,defective
2,480,2,1742,118,138,clean
4,61,6,319,31,47,clean
4,272,5,258,183,147,defective
6,36,9,259,175,18,defective
1,140,1,1742,0,140,clean
1,171,1,1742,0,171,clean
2,6,2,358,1516,12,defective
1,18,1,1742,1561,6,clean
1,4,1,258,60,1,defective
1,12320,1,299,148,160,defective
1,299,1,319,144,23,clean
1,341,1,259,23,341,clean
1,341,1,259,23,341,clean
1,3,2,259,40,3,clean
1,31240,1,1742,160,110,defective
1,1052,2,358,260,236,clean
1,1,1,299,526,1,clean
1,1052,2,358,260,236,clean
1,415,1,258,48,415,defective
1,162,1,299,424,27,clean
1,14,1,299,47,14,clean
1,883060,1,258,267,670,defective
5,957,5,258,2212,79,defective
1,38,1,258,2219,38,clean
3,32,3,358,132,11,clean
1,264,1,1742,67,22,defective
1,5,1,319,84,5,clean
1,26,1,319,57,26,clean
3,25,3,358,278,33,defective
1,96,1,299,347,16,defective
1,1092,2,258,174,35,clean
1,6336,1,299,784,144,clean
1,754,1,1742,660,29,clean
1,176,1,259,424,176,clean
1,1150,1,258,805,50,defective
1,1294,1,299,187,1294,defective
1,426,1,259,38,71,clean
3,336,3,358,78,29,clean
2,17280,2,299,66,92,defective
1,1,1,1742,132,1,clean
1,450,1,299,72,50,defective
1,1,1,1742,132,1,clean
2,412,2,319,137,64,clean
1,20,1,299,6,10,clean
1,492,1,1742,56,492,clean
1,26,1,319,57,26,clean
1,75,1,358,1915,15,clean
1,226576,1,1742,2100,476,defective
3,17280,3,299,88,199,defective
2,1,2,358,134,1,defective
2,858,2,258,134,18,clean
2,6,2,299,65,82,clean
3,950,3,358,79,20,defective
2,268,2,358,337,50,defective
1,5893,1,259,19,71,clean
1,1294,1,299,187,1294,defective
1,410,1,299,70,10,clean
3,168,3,358,1921,16,defective
1,226576,1,1742,2100,476,defective
1,112,1,319,2129,14,clean
7,1022,7,258,2183,61,defective
1,270,1,358,1939,45,clean
1,226576,1,1742,2100,476,defective
2,1092,2,258,2143,33,defective
1,5,1,358,0,5,clean
3,187,3,299,2010,54,defective
1,226576,1,1742,2100,476,defective
1,1,1,319,2114,1,clean
4,71,4,299,187,327,defective
1,56048,1,259,726,496,defective
1,11571,1,358,127,133,clean
1,62,1,299,133,31,clean
1,69,1,258,94,69,clean
4,75,4,258,204,69,defective
1,285,1,258,230,57,clean
4,2016,4,258,208,60,defective
2,2016,2,258,201,73,defective
3,1827,3,258,210,40,defective
2,10125,2,319,168,122,clean
6,10125,6,319,161,116,clean
2,510,2,358,72,30,defective
1,1,1,1742,69,1,clean
1,529,1,358,424,23,defective
1,2210,1,319,30,130,defective
1,2210,1,319,30,130,defective
2,537,2,299,220,273,clean
1,16,1,319,20,4,clean
1,6,1,299,419,6,clean
1,72,1,258,253,18,clean
2,140,2,259,298,133,defective
1,18,1,358,81,18,clean
2,4,2,319,99,14,clean
1,120,1,358,75,30,clean
1,71,1,258,1805,71,clean
1,62,1,358,396,31,clean
1,9310,1,258,409,98,clean
3,269010,5,259,382,230,defective
2,43,2,258,252,22,clean
1,185,1,1742,95,5,clean
1,6,5,259,164,18,clean
1,7828,1,299,132,412,clean
1,100,1,1742,2112,25,clean
1,226576,1,1742,2100,476,defective
1,72,1,319,2153,72,clean
1,204,1,299,136,204,clean
1,5562,1,299,570,309,clean
1,9,1,259,122,3,clean
1,2,1,259,191,2,clean
1,132,1,299,1114,22,clean
1,81,3,319,460,6,clean
2,361,4,258,218,92,defective
3,20,5,259,61,64,clean
1,80,1,358,73,80,defective
1,445,1,259,64,89,clean
1,1,1,1742,618,1,clean
1,1294,1,299,187,1294,defective
1,232,1,358,1337,29,clean
1,5,1,1742,784,0,clean
1,28,1,299,1195,7,clean
1,83,1,319,1201,83,clean
1,110864,2,1742,734,224,defective
1,492,1,1742,56,492,clean
1,26,1,319,57,26,clean
1,1521,3,259,253,92,defective
1,31,1,358,85,31,clean
1,486,1,319,99,27,clean
1,1294,1,299,187,1294,defective
2,1501,2,1742,173,751,clean
1,1501,1,1742,173,1501,clean
1,13,1,259,172,13,clean
1,4,1,259,1118,0,clean
1,90,1,1742,57,45,clean
1,56,1,319,42,7,clean
1,37,1,299,840,37,clean
1,3,1,319,134,3,clean
1,1294,1,299,187,1294,defective
1,3,1,258,188,1,clean
1,140,1,1742,1763,70,clean
1,10,1,299,244,10,clean
2,1294,2,299,187,653,defective
1,8,1,299,14,8,clean
1,5,1,259,133,5,clean
1,9,1,299,1112,3,clean
2,1,2,319,220,6,clean
1,336,1,258,170,56,clean
1,768,1,258,88,768,clean
1,6,1,1742,213,6,clean
1,176,1,259,424,176,clean
1,5893,1,259,19,71,clean
1,1,1,258,94,1,clean
3,32,3,258,138,33,clean
7,950,7,358,79,26,defective
3,4902,3,299,22,61,clean
1,425,1,1742,26,25,clean
1,35,1,258,33,35,clean
1,244,1,299,21,244,clean
1,144,2,1742,43,12,clean
1,11868,1,1742,174,92,clean
2,75,2,258,193,79,defective
2,26,2,358,114,32,clean
1,1501,1,1742,173,1501,clean
1,17,1,358,217,17,clean
1,335,1,259,19,335,defective
1,414,1,1742,804,23,clean
1,24804,1,1742,58,106,clean
1,18,1,358,0,6,clean
1,8,1,1742,0,4,clean
1,1344,1,299,145,1344,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
14,972,33,358,234,32,defective
8,34,12,299,205,13,clean
14,24,18,1742,322,1189,defective
12,75,16,319,95,53,defective
8,1551,11,258,193,123,defective
9,17,11,259,181,209,defective
1,390,1,358,225,13,clean
3,5,3,299,62,6,clean
1,4,1,259,0,2,clean
1,4,1,259,39,2,clean
1,335,2,259,19,335,defective
1,154,1,299,0,14,clean
1,2,1,1742,0,2,defective
1,8,1,319,69,8,clean
2,742,2,358,234,61,defective
1,285,1,299,104,19,clean
1,1,1,1742,99,1,clean
5,47,5,319,252,22,clean
2,2338,2,258,293,122,defective
13,51,47,259,217,15,defective
1,2,1,358,169,0,clean
1,5,1,1742,218,0,clean
1,87,1,319,174,29,clean
1,1680,2,258,126,32,clean
1,1,1,259,182,0,clean
1,1,1,299,454,1,clean
1,806,4,1742,228,403,defective
2,632,2,258,135,13,clean
1,25,1,259,141,5,clean
3,22,3,319,9,10,defective
1,1,1,258,8,1,clean
1,1,1,259,8,1,defective
1,15,1,358,0,0,clean
1,5329,1,1742,660,73,defective
9,10,19,358,229,19,clean
1,14880,1,299,0,186,clean
3,4,3,1742,194,1,clean
1,4664,1,319,382,44,defective
2,2114,2,258,283,152,clean
6,12,6,259,390,42,clean
1,400,1,319,814,20,clean
1,1,1,258,0,1,clean
1,11058,3,259,333,68,defective
1,5,1,1742,2,5,clean
1,1,1,259,18,1,clean
2,6,2,1742,150,3,defective
1,12,1,258,69,4,clean
1,72,1,299,50,9,defective
1,24,1,319,54,24,defective
17,10,43,358,19,17,defective
5,460,9,299,15,14,clean
7,13,12,1742,68,28,defective
4,5,4,319,2,7,clean
6,9,11,258,9,12,clean
6,25,11,259,18,4,clean
1,285,1,299,104,19,clean
1,12,1,1742,161,12,clean
1,4,1,258,162,2,clean
1,9,1,259,174,3,clean
3,11,8,1742,130,14,defective
4,2,4,319,143,17,defective
4,5470,4,258,269,731,defective
11,3,20,259,129,6,defective
1,65,2,1742,99,44,defective
4,81,6,319,17,16,clean
1,50,2,358,69,7,defective
3,190,3,299,108,32,defective
1,20667,1,1742,91,83,defective
1,1,1,319,8,1,clean
3,190,5,299,66,39,defective
1,20667,1,1742,91,83,defective
1,1,1,319,8,1,clean
1,50,2,358,69,7,defective
2,684,2,299,81,22,defective
2,143,2,1742,93,42,defective
1,1,1,319,8,1,clean
1,50,2,358,69,7,defective
2,684,2,299,81,22,defective
1,20667,1,1742,91,83,defective
1,1,1,319,8,1,clean
1,20667,1,1742,91,83,defective
1,25,1,358,0,5,defective
1,36,1,299,0,6,clean
1,20667,1,1742,91,83,defective
1,1,1,319,8,1,clean
1,50,1,358,139,10,defective
1,684,1,299,163,38,defective
1,20667,1,1742,91,83,defective
1,24,1,358,69,4,clean
1,272,1,358,326,17,clean
1,400,1,319,814,20,clean
1,11058,5,259,293,41,defective
1,32,1,259,226,16,clean
1,5,1,319,0,5,clean
2,7,30,259,226,5,clean
2,2,2,358,189,1,clean
2,2,2,299,44,0,clean
2,58,2,319,177,24,clean
1,1680,1,258,33,60,clean
3,14,3,259,294,28,clean
1,3,1,1742,27,3,clean
1,1680,1,258,33,60,clean
11,320,15,358,654,24,defective
16,13,18,299,390,10,defective
6,2,8,1742,196,3,defective
4,1,6,319,271,41,defective
6,118,10,258,485,125,defective
4,718,4,259,416,472,defective
3,36,8,358,581,9,clean
3,177,4,1742,366,47,clean
2,1857,2,258,1144,123,defective
1,462,1,259,367,66,defective
1,60,1,319,293,5,clean
1,5,1,319,82,1,clean
1,638,2,1742,57,402,defective
1,78,1,259,0,13,clean
1,155,3,1742,57,390,defective
1,905,1,259,64,181,defective
4,161,12,1742,42,221,defective
1,7,1,319,0,7,clean
1,14,1,259,66,7,clean
1,184,1,1742,2,184,defective
1,3,1,319,3,3,defective
1,5,6,319,9,143,clean
1,1,1,258,0,1,clean
1,10,4,259,12,3,clean
1,400,1,319,814,20,clean
1,11058,3,259,333,68,defective
1,36,1,358,325,6,defective
1,378,2,1742,12,21,clean
1,8,1,258,206,2,clean
1,8,2,299,227,35,clean
1,47,2,1742,156,0,clean
1,2,1,259,0,0,clean
3,6,17,1742,438,26,defective
5,89,9,319,537,10,defective
4,2,5,258,649,3,defective
1,1,1,259,2222,1,clean
4,23,4,299,156,17,clean
1,400,1,319,4,20,defective
1,9,1,259,63,9,clean
3,837,3,358,626,21,clean
2,105,2,299,1237,35,clean
4,46,5,1742,283,6,defective
2,38,2,319,55,39,clean
5,16,6,258,172,20,defective
1,240,8,259,49,47,clean
1,546,1,1742,159,26,defective
1,7,1,319,38,7,clean
2,53,2,258,175,27,defective
4,700,6,259,165,23,defective
1,5,1,299,0,5,clean
2,4,2,299,0,3,clean
1,1,1,319,0,1,clean
3,44,10,258,380,120,defective
3,42,3,259,405,18,defective
3,1185,3,1742,128,8,clean
1,12,1,1742,762,4,clean
1,12,1,1742,762,4,clean
1,12,1,258,762,6,clean
7,950,7,358,78,19,defective
1,16,1,258,22,16,clean
1,21,1,358,198,0,clean
2,2,2,259,835,3,clean
1,7,1,358,11,7,clean
1,1,1,258,15,1,clean
1,2,1,1742,54,0,clean
1,121,1,258,54,11,clean
1,30,2,1742,184,18,defective
1,1360,1,259,208,34,defective
1,72,1,299,50,9,defective
2,4,2,319,111,12,defective
1,3,1,258,63,0,clean
1,13,1,259,84,13,clean
1,1520,1,358,318,152,clean
1,400,1,319,814,20,clean
3,2667,4,258,517,377,defective
1,10,4,259,543,34,clean
1,5168,2,259,5,45,defective
1,1520,1,358,318,152,clean
1,400,1,319,814,20,clean
1,1940,1,258,379,388,defective
1,11058,3,259,333,68,defective
2,4,2,1742,86,2,clean
2,900,2,259,416,46,defective
31,400,55,259,397,61,defective
3,102,3,358,79,31,clean
1,2,1,299,189,2,clean
5,27,6,1742,43,17,defective
4,156,4,258,121,32,clean
1,30,1,358,93,5,clean
1,64,1,258,638,8,clean
8,33,11,358,151,27,clean
9,20,12,299,107,13,defective
6,333,6,1742,234,62,defective
8,59,8,319,211,16,defective
9,14,13,258,276,30,defective
15,20,30,259,183,18,defective
1,8,1,1742,189,8,clean
1,1,1,259,106,0,clean
1,25,1,299,160,5,clean
1,121,1,1742,164,11,clean
1,10,1,1742,108,0,clean
1,4,1,319,330,2,clean
2,650,3,258,146,156,defective
4,81,4,259,206,22,defective
1,5,2,259,110,1,clean
3,6,5,1742,110,13,defective
1,136,1,319,10,136,clean
3,198,3,259,220,62,defective
1,546,4,1742,171,17,defective
1,7,3,319,19,93,clean
2,15,2,259,167,37,clean
1,20,1,358,42,20,clean
2,15,2,259,321,32,clean
3,73,9,259,191,11,clean
1,12,1,258,762,6,clean
1,400,1,319,814,20,clean
1,11058,3,259,333,68,defective
1,378,1,1742,12,21,clean
1,120,1,1742,221,12,clean
1,25,1,258,226,5,clean
2,1,2,258,36,2,clean
1,4,1,259,36,4,clean
1,1,1,299,318,1,clean
4,16,6,1742,92,77,defective
3,94,3,319,227,27,clean
1,31240,1,1742,160,110,defective
1,775,1,258,181,31,clean
2,5,2,1742,318,3,clean
1,3,1,1414,287,0,clean
1,3,1,1414,287,0,clean
1,3,1,1414,205,3,clean
1,170,1,1414,50,85,clean
1,92,1,1414,13,92,clean
1,13478,1,1414,106,293,clean
1,92,1,1414,13,92,clean
1,2,1,688,188,2,clean
1,260,1,688,184,52,defective
2,1452,3,688,104,36,defective
10,105,11,1414,85,187,clean
4,19,5,688,124,35,clean
1,29,1,688,12,29,clean
1,29,1,688,12,29,clean
2,23496,3,1414,66,101,defective
1,1452,3,688,71,28,defective
1,414,1,1414,65,23,clean
2,101,2,688,62,11,defective
3,4,4,688,48,3,clean
2,8,2,1414,9,8,clean
1,135,1,1414,153,45,defective
6,10,7,688,138,126,clean
4,623,10,1414,44,48,defective
4,56,5,688,116,17,defective
1,640,1,688,44,40,defective
1,18,2,1414,56,27,defective
3,18,3,688,82,4,clean
1,2,1,1414,139,2,clean
3,23,3,688,145,81,defective
1,1989,1,1414,65,51,clean
1,529,1,688,0,23,clean
3,103,5,1414,1,38,clean
2,12,2,1414,14,10,clean
1,64,1,688,0,64,clean
30,17,41,1414,2,87,defective
30,8,42,688,4,374,defective
1,19,1,1414,0,1,clean
1,93,1,688,0,93,clean
1,94,3,1414,4,29,clean
3,82,7,688,91,15,clean
1,3,1,1414,6,3,clean
3,459,4,1414,72,67,defective
3,43,4,688,60,14,defective
1,171468,1,688,46,99,clean
1,22,1,1414,56,22,defective
2,680,2,688,31,35,defective
1,23154,1,688,0,51,clean
1,23154,1,688,0,51,clean
6,30,8,1414,245,53,clean
9,839,14,688,164,536,defective
1,612,1,688,3,68,clean
1,660,1,1414,62,55,clean
8,622,15,688,48,41,defective
1,660,1,1414,62,55,clean
1,11881,1,688,54,109,clean
1,204,1,1414,4,34,clean
1,80,1,1414,119,8,clean
1,4,1,688,119,2,clean
3,518,3,1414,146,25,defective
4,74,11,688,81,36,defective
1,9,1,1414,8,3,clean
1,8,1,1414,44,2,clean
3,225,4,688,42,14,clean
1,7056,1,688,0,84,clean
8,6875,30,688,52,64,defective
1,660,1,1414,62,55,clean
7,48,11,688,75,39,defective
6,1300,6,688,9,21,defective
2,34,4,688,2,16,clean
2,24,4,1414,12,1,clean
4,800,6,688,63,23,defective
3,2,3,1414,0,1,clean
3,265,4,688,0,44,clean
1,34,1,1414,18,17,clean
5,296,5,688,36,27,clean
1,5,1,1414,0,0,clean
10,21,13,688,99,23,defective
1,7056,2,688,0,84,clean
1,7056,2,688,0,84,clean
2,7056,3,688,0,56,clean
1,7056,2,688,0,84,clean
2,168,2,688,0,44,clean
2,13,2,688,318,14,clean
2,2792,6,688,100,33,clean
1,4,1,1414,177,2,clean
3,9135,3,688,28,132,defective
5,220,5,1414,96,79,defective
2,214,3,688,107,18,clean
3,36,3,1414,141,11,clean
1,260,1,688,184,52,defective
1,1159,1,1414,83,61,clean
3,4,3,1414,13,3,clean
1,6,1,688,0,6,clean
1,9,1,1414,14,3,clean
1,10,1,688,0,10,clean
1,3,1,1414,0,3,clean
2,6,2,688,0,7,clean
1,4,1,1414,0,4,clean
1,10,1,688,0,10,clean
1,4,1,1414,0,4,clean
1,10,1,688,0,10,clean
1,4,1,688,1,4,clean
2,4,2,1414,0,3,clean
1,10,1,688,0,10,clean
1,10,1,688,0,10,clean
7,731,9,1414,38,24,clean
10,142,26,688,65,30,defective
4,195,6,1414,54,19,defective
3,723,16,688,87,49,defective
3,79,3,1414,47,21,clean
2,14,2,688,31,5,clean
1,3,2,688,29,5,clean
6,11881,16,688,48,21,clean
5,4,8,1414,19,12,clean
12,95,20,688,60,44,defective
1,11881,1,688,54,109,clean
4,86,7,1414,39,23,clean
5,467,11,688,27,12,defective
1,1035,2,1414,91,542,clean
2,143658,4,688,79,252,clean
3,5,4,688,52,47,clean
1,98,1,688,76,98,clean
1,29,1,688,12,29,clean
1,29,1,688,12,29,clean
1,29,1,688,12,29,clean
1,1228,1,688,168,1228,clean
14,1529,15,1414,98,49,defective
9,56,15,688,131,28,defective
2,2,6,1414,107,30,defective
1,10,1,688,0,0,clean
1,408,1,1414,188,17,defective
3,295,4,688,147,31,clean
1,408,1,1414,188,17,defective
1,400,2,688,188,20,clean
7,357,24,688,61,99,defective
11,85,14,1414,88,44,defective
5,129,8,688,80,33,defective
3,3218,3,1414,47,95,defective
1,441,2,688,119,21,clean
4,266,7,688,151,18,clean
3,3218,4,1414,54,84,defective
4,800,7,688,89,24,defective
4,21,5,1414,193,3,clean
1,1,1,688,19,1,clean
1,170,1,1414,50,85,clean
1,355,6,1414,0,0,clean
1,1143,1,1414,166,1143,clean
3,246,3,688,3,34,clean
4,246,4,688,4,27,clean
1,343,1,688,0,343,clean
18,12,24,1414,39,9,defective
14,49,27,688,125,420,defective
10,1124,11,1414,339,149,defective
5,91,5,688,592,509,defective
1,5,3,1414,43,0,clean
1,220,1,688,12,220,clean
12,82,21,1414,91,63,defective
11,62,19,688,64,70,defective
1,93,1,688,0,93,clean
1,118,1,1414,0,0,clean
1,1989,1,1414,65,51,clean
1,284,1,1414,0,0,clean
1,284,1,1414,0,0,clean
2,20,2,688,1,10,clean
1,695286,1,1414,0,2033,clean
6,332,6,688,568,134,defective
1,1,1,1414,122,1,clean
4,12,4,688,50,9,defective
1,61761,2,1414,126,224,clean
1,371,2,1414,78,188,clean
1,13478,1,1414,106,293,clean
1,1143,7,1414,108,398,clean
1,92,1,1414,13,92,clean
3,1159,5,1414,50,31,defective
1,27189,1,1414,161,477,clean
1,1989,1,1414,65,51,clean
1,72,1,1414,226,9,clean
1,171468,3,688,71,622,clean
1,5280,1,688,567,96,clean
1,4140,1,1414,45,92,clean
1,25,2,1414,8,9,clean
