@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R4,9'

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {defective,clean}

@data
1,1,1,12,1,358,231,4,8,clean
2,2,2,5,2,299,899,0,2,clean
1,1,3,18,1,1742,926,18,0,defective
3,3,2,16,4,358,530,209,272,defective
2,2,4,1802,9,299,253,167,33,defective
3,3,5,15,3,319,328,4,0,clean
1,1,6,23,1,258,3,1,22,clean
1,1,1,23,1,258,3,1,22,clean
1,1,1,611,1,319,344,611,0,defective
3,3,2,64,3,358,173,22,0,defective
1,1,3,1355,3,299,242,399,52,defective
1,1,4,138,1,319,102,138,0,clean
1,1,5,23,1,258,3,1,22,clean
1,1,1,1061,2,299,291,451,79,defective
1,1,2,23,1,258,3,1,22,clean
1,1,1,1061,2,299,291,451,79,defective
6,6,2,406,7,358,345,75,21,defective
2,2,3,1284,5,299,380,121,135,defective
2,2,5,8,2,1742,702,18,3,defective
1,1,6,209,1,258,116,209,0,clean
1,1,7,2,1,259,701,2,0,clean
1,1,1,219,1,299,169,219,0,clean
3,3,4,193,3,1742,1220,75,1,clean
1,1,5,1,1,319,170,1,0,clean
2,2,1,25,2,299,389,9,3,clean
1,1,2,75,1,1742,49,75,0,clean
1,1,1,360,2,1742,29,180,0,clean
1,1,1,26,1,1742,15,3,23,clean
2,2,1,7,2,358,1,3,0,clean
1,1,2,2,1,299,53,1,1,clean
2,2,3,10,2,319,196,2,2,clean
1,1,1,86,1,1742,34,86,0,clean
1,1,1,125,2,358,116,37,25,clean
1,1,2,31,1,299,56,31,0,clean
1,1,3,73,1,319,22,73,0,clean
2,2,2,184,5,358,647,21,69,clean
1,1,3,187,1,258,535,108,79,defective
1,1,1,370,1,358,1977,185,185,clean
1,1,1,8,1,259,86,1,7,clean
1,1,1,11,1,258,539,11,0,clean
1,1,1,11,1,258,539,11,0,clean
1,1,1,11,1,258,539,11,0,clean
2,2,1,16,2,299,343,2,5,clean
1,1,1,171,1,1742,89,171,0,clean
12,12,4,190,21,358,459,95,67,defective
4,4,5,1651,7,299,396,126,109,defective
6,6,7,165,6,1742,119,24,15,defective
5,5,8,854,7,319,210,76,46,defective
9,9,11,76,21,258,313,61,33,defective
1,1,12,1039,2,259,352,264,255,defective
5,5,1,344,6,358,269,22,35,defective
4,4,4,9,5,299,510,6,4,clean
1,1,5,29,1,1742,539,10,19,clean
2,2,6,47,2,319,485,2,21,clean
3,3,8,27,7,258,254,74,45,defective
1,1,9,3,1,259,502,3,0,clean
3,3,2,32,4,358,210,12,9,defective
