@relation 'dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R2-3,5,7-9,11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,3,2033,clean
2,221,2,12,clean
3,127,3,53,clean
1,695286,1,2033,clean
3,7,3,3,clean
1,3611,1,0,clean
1,5390,4,20,clean
1,4,1,4,clean
1,4731,1,83,clean
3,4384,3,411,defective
1,11663,1,107,clean
1,55,1,11,clean
1,355,5,0,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,756,1,42,clean
2,171468,3,997,defective
1,324,1,18,clean
1,15,2,63,clean
1,2,1,2,clean
4,155,5,15,clean
5,46,5,54,defective
3,274,4,447,clean
2,1520,2,55,defective
1,95,1,95,clean
3,16,3,38,defective
2,56,3,20,defective
1,3,1,0,clean
1,15,1,5,clean
5,28,6,14,defective
1,4950,1,150,clean
2,3207,3,595,clean
1,3765,1,0,clean
1,18438,1,439,clean
1,3765,1,0,clean
1,11286,1,114,clean
1,2124,7,30,clean
2,171468,2,75,clean
1,1,5,4,clean
1,171468,2,885,clean
1,11,1,11,clean
2,6676,2,75,defective
1,9,1,3,clean
1,16,1,4,clean
1,640,1,40,defective
8,6875,30,64,defective
6,11881,16,21,clean
1,1247689,1,1117,clean
1,1247689,1,1117,clean
1,1247689,1,1117,clean
1,1247689,1,1117,clean
1,1247689,1,1117,clean
1,1247689,1,1117,clean
1,1247689,1,1117,clean
1,1247689,1,1117,clean
1,1247689,1,1117,clean
1,1247689,1,1117,clean
1,3,1,3,clean
2,4,2,30,clean
1,2,1,2,clean
3,84,3,5,clean
3,84,3,5,clean
1,1,1,1,clean
1,4,1,2,clean
2,408,2,15,clean
1,150,1,15,clean
1,48,1,12,clean
2,1794,2,78,clean
1,171468,2,885,clean
1,40,1,5,clean
1,5576,1,68,clean
1,5576,1,68,clean
2,9,2,2,clean
2,252,2,15,clean
3,1426,3,24,defective
2,144,3,12,clean
1,195,1,15,clean
1,1058,1,46,clean
1,8,1,0,clean
1,195,1,15,clean
1,1058,1,46,clean
4,18,5,7,clean
1,1058,1,46,clean
1,2,1,2,clean
2,12,2,10,clean
3,2,3,1,clean
3,265,4,44,clean
1,7056,2,84,clean
1,7056,2,84,clean
1,4,1,4,clean
1,10,1,10,clean
1,4,1,4,clean
1,10,1,10,clean
4,86,7,23,clean
5,467,11,12,defective
4,266,7,18,clean
4,21,5,3,clean
1,1,1,1,clean
1,587,2,312,defective
1,587,2,312,defective
1,36442,2,142,clean
1,37,1,1,clean
1,7,1,7,clean
1,361,1,19,clean
1,324,1,108,clean
1,35,1,5,clean
2,36,3,3,defective
4,19,8,7,defective
1,4,1,2,clean
3,120,4,56,defective
1,7056,1,84,clean
1,94,1,0,clean
1,94,1,0,clean
1,51,1,51,clean
1,46945,1,229,clean
1,6026,1,23,clean
1,676,1,2,clean
1,13,1,13,clean
1,33558,1,141,clean
2,182,2,40,clean
2,64,2,9,clean
3,8,3,8,clean
3,2400,3,70,defective
1,264,1,24,clean
1,18438,1,439,clean
1,3765,1,0,clean
1,9,1,3,clean
1,10,1,10,clean
1,6,1,6,clean
1,15,2,3,clean
1,440,1,20,clean
1,440,1,20,clean
1,868,1,31,defective
1,440,1,20,clean
1,4,1,4,clean
1,2470,1,65,clean
2,389,2,24,clean
3,770,4,126,clean
1,440,1,20,clean
2,422,2,95,clean
2,17,2,2,clean
1,64,1,0,clean
2,15,2,2,clean
2,2,2,1,defective
2,120,2,32,clean
2,5,2,7,clean
1,156,1,26,clean
1,25,1,5,clean
2,2760,2,174,clean
1,2363,1,139,clean
1,55718,2,404,defective
1,1,1,1,clean
1,4,1,4,clean
1,440,1,20,clean
1,440,1,20,clean
3,301,3,41,defective
1,17,1,17,clean
1,195,1,15,clean
17,253,23,66,defective
14,31,18,48,defective
1,9,4,0,clean
1,3,1,3,clean
1,170,1,85,clean
1,92,1,92,clean
1,13478,1,293,clean
1,92,1,92,clean
1,1989,1,51,clean
3,103,5,38,clean
1,3,1,3,clean
1,22,1,22,defective
2,680,2,35,defective
1,204,1,34,clean
1,3,1,3,clean
2,6,2,7,clean
2,4,2,3,clean
1,10,1,10,clean
1,1035,2,542,clean
2,2,6,30,defective
1,170,1,85,clean
1,355,6,0,clean
1,5,4,0,clean
1,1989,1,51,clean
1,284,1,0,clean
1,284,1,0,clean
1,695286,1,2033,clean
1,61761,2,224,clean
1,371,2,188,clean
1,13478,1,293,clean
1,1143,7,398,clean
1,92,1,92,clean
3,1159,5,31,defective
1,27189,1,477,clean
1,1989,1,51,clean
1,72,1,9,clean
1,9,1,3,clean
1,273,1,0,clean
1,252,1,0,clean
1,252,1,0,clean
1,152,1,0,clean
1,255,1,0,clean
1,61761,1,357,clean
1,209,1,0,clean
1,683,1,0,clean
1,683,1,0,clean
1,683,1,0,clean
2,16116,2,178,defective
1,908,1,908,clean
1,3430,1,49,clean
1,46948,1,388,clean
1,3611,1,0,clean
1,180,1,15,clean
1,15,4,62,clean
1,46948,1,388,clean
1,13478,1,293,clean
1,209,1,0,clean
1,137,1,0,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,96,1,12,clean
2,22,2,12,defective
1,437,1,23,clean
1,3611,2,0,clean
1,4,1,4,clean
1,50,1,50,clean
1,50,1,50,clean
1,50,1,50,clean
1,50,1,50,clean
1,50,1,50,clean
1,908,1,908,clean
1,153671,1,203,clean
2,6106,2,123,clean
1,61,1,0,clean
1,284,1,0,clean
2,20,2,24,clean
2,28,2,6,clean
1,72,1,72,clean
1,204,1,34,clean
1,65,1,65,clean
1,66,1,0,clean
3,62,3,11,clean
1,4,1,2,clean
1,75,1,15,clean
1,271,1,0,clean
1,3,1,3,clean
1,813,2,1020,clean
1,284,1,0,clean
1,240,1,0,clean
1,143,1,0,clean
1,271,1,0,clean
2,9,2,3,clean
1,819,1,91,clean
1,2,2,2,clean
1,3,1,3,clean
1,6,1,6,clean
1,14,1,14,clean
1,1159,1,61,clean
1,8763,1,127,clean
1,27189,1,477,clean
1,1960,1,98,clean
1,350,1,0,clean
1,8,1,4,clean
1,36,1,6,clean
1,61,1,0,clean
1,46948,1,388,clean
1,180,1,15,clean
1,204,1,34,clean
1,13,1,13,clean
1,204,1,34,clean
1,50,1,50,clean
1,255,1,0,clean
1,284,1,0,clean
1,4,1,0,clean
1,37,1,0,clean
1,18,1,18,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,1,2033,clean
1,695286,3,2033,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
1,1904,1,119,clean
2,663,2,21,clean
1,663,1,39,clean
1,663,1,39,clean
1,52,1,26,clean
1,540,1,45,clean
1,52,1,26,clean
1,540,1,45,clean
1,52,1,26,clean
1,540,1,45,clean
1,52,1,26,clean
1,540,1,45,clean
1,52,1,26,clean
1,540,1,45,clean
1,52,1,26,clean
1,540,1,45,clean
1,52,1,26,clean
1,540,1,45,clean
1,19,1,1,clean
1,4,2,4,clean
1,50,1,50,clean
2,36,2,104,clean
2,36,2,104,clean
1,137,1,0,clean
1,153671,1,203,clean
1,61,1,0,clean
1,369,1,9,clean
1,24,1,0,clean
1,18828,1,523,clean
1,11,1,11,clean
1,101,1,101,clean
1,69,2,0,clean
1,118,1,0,clean
2,16,2,10,defective
1,2312,1,136,clean
2,2,2,3,clean
1,271,1,0,clean
1,271,1,0,clean
1,271,1,0,clean
1,161,1,7,clean
1,1320,2,88,defective
1,68,1,34,clean
1,68,1,34,clean
1,68,1,34,clean
1,68,1,34,clean
2,2,2,2,clean
1,45,1,45,clean
1,437,1,23,clean
2,5839,2,145,clean
1,117,1,117,clean
1,11,1,11,clean
1,289872,1,528,defective
1,5643,1,99,clean
1,61,1,0,clean
1,1143,2,666,clean
1,273,1,0,clean
1,3430,1,49,clean
1,614,9,0,clean
1,93,1,0,clean
1,614,3,0,clean
1,614,3,0,clean
1,637,1,0,clean
1,284,1,0,clean
1,1159,1,61,clean
3,2400,3,76,defective
1,264,1,24,clean
1,2760,1,345,clean
1,2400,1,200,defective
1,264,1,24,clean
2,16,2,10,defective
4,1966,5,166,defective
1,3510,1,54,clean
2,129,2,32,defective
1,95,1,95,clean
1,1143,1,1143,clean
3,49,3,10,defective
2,348,2,32,clean
1,3620,2,175,clean
1,35912,2,203,clean
1,92,1,46,clean
5,360,5,65,defective
1,14,1,14,defective
3,3208,3,188,clean
1,235,1,47,clean
1,961,1,31,clean
2,3679,2,156,defective
1,72,1,18,clean
1,321,1,0,clean
3,135,3,32,defective
1,3888,1,81,clean
1,61761,1,357,clean
1,2312,1,136,clean
1,96,1,96,clean
2,48,2,12,defective
1,7040,1,88,clean
1,8932,1,319,clean
1,8932,1,319,clean
1,10878,1,147,clean
1,631,1,631,clean
1,8932,1,319,clean
1,440,1,20,clean
2,588,2,41,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,5929245,1,2689,clean
1,45,1,45,clean
1,18438,4,151,clean
2,61,3,0,clean
1,240,3,98,clean
1,260,1,52,defective
1,29,1,29,clean
1,29,1,29,clean
3,4,4,3,clean
1,64,1,64,clean
1,23154,1,51,clean
1,23154,1,51,clean
1,612,1,68,clean
2,34,4,16,clean
1,4,1,4,clean
1,10,1,10,clean
1,3,2,5,clean
1,29,1,29,clean
1,29,1,29,clean
1,29,1,29,clean
1,1228,1,1228,clean
1,10,1,0,clean
3,246,3,34,clean
1,343,1,343,clean
1,220,1,220,clean
2,20,2,10,clean
6,332,6,134,defective
4,12,4,9,defective
1,5280,1,96,clean
2,24681823,2,6259,clean
1,13323,1,13323,clean
1,2,1,1,clean
1,1731,1,1731,defective
2,2,2,1,clean
1,1755,1,195,clean
1,8,1,8,clean
1,26325,1,325,clean
1,324,1,108,clean
1,101748,1,556,clean
1,101748,1,556,clean
2,62828,2,629,clean
1,6,1,6,clean
1,529,1,23,clean
1,529,1,23,clean
1,529,1,23,clean
1,529,1,23,clean
1,529,1,23,clean
2,156,2,117,defective
4,156,4,61,defective
2,13144,4,74,clean
2,13144,2,115,clean
1,234,2,26,clean
1,225,2,25,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,13323,1,13323,clean
1,343,1,343,clean
2,10,8,8,defective
1,1296,2,36,clean
1,1296,2,36,clean
1,1296,2,36,clean
1,65,1,65,clean
1,50,1,50,clean
2,125,2,64,defective
1,813,2,1020,clean
1,2,1,2,clean
1,7,1,7,clean
1,1731,1,1731,defective
1,192,5,155,clean
1,171468,2,213,defective
1,343,1,343,clean
1,3765,1,0,clean
1,540,1,45,clean
1,540,1,45,clean
1,540,1,45,clean
1,2,1,2,clean
1,343,1,343,clean
2,311374,4,347,clean
1,4,1,2,clean
1,110,1,110,clean
1,110,1,110,clean
1,81,1,9,clean
2,129690,2,475,clean
1,220,1,220,clean
1,220,1,220,clean
1,1424,1,1424,defective
1,5760,1,96,clean
2,8,4,9,clean
1,113,1,113,clean
1,171468,2,885,clean
1,4,2,4,clean
1,261080,1,535,clean
3,4,4,122,clean
2,24681823,2,6259,clean
2,24681823,4,3622,clean
2,3112960,4,1784,clean
2,18,2,56,clean
1,1731,1,1731,defective
3,7938,3,259,defective
2,7938,2,289,defective
3,980,3,97,clean
1,1424,1,1424,defective
1,409,1,409,clean
2,296,2,76,clean
2,462,2,232,defective
4,7,5,95,clean
1,1731,1,1731,defective
1,1731,1,1731,defective
1,5760,1,96,clean
2,1731,2,868,defective
1,1731,1,1731,defective
2,2238180,4,856,clean
2,24681823,2,6259,clean
3,310337,9,1731,clean
1,1424,1,1424,defective
1,1424,1,1424,defective
6,1034,7,408,defective
1,4,1,4,clean
5,1731,5,373,defective
2,23,2,14,defective
1,1136,1,1136,defective
1,143,1,143,clean
4,1034,4,375,defective
1,1731,1,1731,defective
2,608,2,154,defective
1,126,1,21,clean
1,10878,1,147,clean
2,1150,2,589,defective
2,23,2,11,clean
1,70,1,14,clean
1,1424,1,1424,defective
2,8,2,8,clean
1,1731,1,1731,defective
1,1731,1,1731,defective
6,468,8,418,defective
1,4,1,2,clean
1,1936,1,88,clean
1,80,1,10,clean
1,810,2,46,defective
2,24681823,2,6259,clean
1,173,10,136,defective
2,600,4,549,defective
1,171468,2,97,clean
2,15,2,8,clean
1,813,6,399,clean
1,4,1,0,clean
1,14,1,14,clean
1,1296,2,36,clean
1,29,1,29,clean
1,1296,2,36,clean
1,1296,2,36,clean
1,4104,1,114,clean
4,1282,6,49,defective
9,9,9,12,clean
6,399,10,39,defective
1,27,1,9,clean
10,132,23,61,defective
1,56,2,4,clean
39,21,46,81,defective
1,5,1,5,clean
3,163,4,91,defective
4,100,13,47,defective
8,405,14,42,defective
4,81,5,140,clean
7,54,14,30,defective
10,10,17,29,defective
2,265,5,120,clean
13,102,14,40,defective
15,55,18,58,defective
15,11,19,49,defective
2,50,2,5,clean
5,74,5,12,clean
16,88,32,65,defective
12,11,16,18,defective
4,122,6,49,clean
18,109,39,34,defective
4,58,7,45,defective
7,147,11,41,defective
7,427,14,73,defective
6,6480,7,117,defective
2,61,2,62,clean
18,620,39,52,defective
3,161,4,69,defective
6,120,6,74,defective
2,46,4,57,defective
8,2,13,31,defective
20,48,49,50,defective
2,378,3,10,clean
1,1,1,1,clean
15,87,21,1570,defective
7,15,7,135,clean
2,2132,3,1457,defective
12,62,12,65,defective
1,9,1,3,clean
7,972,8,20,clean
1,1155,1,55,clean
1,378,1,27,clean
11,15,17,94,defective
3,76,3,49,clean
2,15,2,20,clean
3,200,4,40,clean
1,1,1,1,clean
1,8360,1,95,clean
18,270,21,56,defective
1,674,2,2123,clean
2,7979,2,155,clean
2,255,2,2049,defective
1,65,1,13,clean
7,212,9,525,clean
3,2663,3,63,clean
1,350,1,14,clean
6,361,8,20,clean
1,2,1,2,clean
2,7979,2,155,clean
7,40,9,74,defective
1,6,1,3,clean
3,335,3,1416,defective
3,3,3,0,clean
3,2245,9,98,defective
3,2245,9,97,defective
3,2245,9,98,defective
3,2245,9,98,defective
1,177560,1,460,clean
1,361,1,19,clean
1,2,1,2,clean
3,103,3,24,clean
3,125,3,36,clean
16,246,17,313,defective
1,87,1,87,clean
5,2089,9,535,defective
3,35,3,1456,clean
3,218,3,20,defective
1,435,1,435,clean
6,695,12,77,defective
1,784,1,28,clean
8,38,9,72,clean
5,284,6,709,defective
2,700,2,67,clean
1,332,1,332,defective
3,442,3,63,clean
6,26,11,12,defective
1,15,2,100,clean
15,16,20,75,defective
3,56,3,33,defective
1,64,1,8,clean
1,1,1,1,clean
4,983,5,71,defective
1,234,2,39,clean
1,396,1,22,clean
1,1155,1,165,clean
2,32,3,7,clean
1,36,1,6,clean
4,166,4,192,clean
1,7,1,7,defective
14,20,50,55,defective
1,1155,1,165,clean
2,89,3,36,clean
1,8,1,2,clean
2,23392,2,559,defective
1,900,1,30,clean
1,2304,1,48,clean
1,2304,1,48,clean
1,900,1,30,clean
1,5100,1,85,clean
2,30,2,31,clean
1,140,1,14,clean
1,37728,1,288,clean
2,48,2,11,clean
3,2245,9,99,defective
10,34,12,398,defective
4,378,14,246,defective
2,2,3,2,clean
2,89,3,36,clean
16,46,38,25,defective
1,234,1,0,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
1,172323956,1,16069,clean
