@relation 'dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R3,5-6,8'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,13323,539,0,13323,0,clean
1,1,343,539,0,343,0,clean
2,2,10,539,125,8,3,defective
1,1,1296,539,0,36,36,clean
1,1,1296,539,0,36,36,clean
1,1,1296,539,0,36,36,clean
1,1,65,539,0,65,0,clean
1,1,50,539,0,50,0,clean
2,2,125,539,0,64,1,defective
1,1,813,539,150,1020,0,clean
1,1,2,539,0,2,1,clean
1,1,7,539,8,7,1,clean
1,1,1731,539,172,1731,0,defective
1,1,192,539,1,155,0,clean
1,1,171468,539,46,213,866,defective
1,1,343,539,0,343,0,clean
1,1,3765,539,0,0,3765,clean
1,1,540,539,166,45,12,clean
1,1,540,539,166,45,12,clean
1,1,540,539,166,45,12,clean
1,1,2,539,0,2,1,clean
1,1,343,539,0,343,0,clean
2,2,311374,539,1,347,347,clean
1,1,4,539,0,2,2,clean
1,1,110,539,0,110,0,clean
1,1,110,539,0,110,0,clean
1,1,81,539,52,9,9,clean
2,2,129690,539,103,475,475,clean
1,1,220,539,12,220,0,clean
1,1,220,539,12,220,0,clean
1,1,1424,539,154,1424,0,defective
1,1,5760,539,1839,96,60,clean
2,2,8,539,31,9,0,clean
1,1,113,539,5,113,0,clean
1,1,171468,539,107,885,866,clean
1,1,4,539,1,4,0,clean
1,1,261080,539,894,535,488,clean
3,3,4,539,538,122,14,clean
2,2,24681823,539,746,6259,6259,clean
2,2,24681823,539,455,3622,3622,clean
2,2,3112960,539,244,1784,1784,clean
2,2,18,539,0,56,0,clean
1,1,1731,539,172,1731,0,defective
3,3,7938,539,78,259,29,defective
2,2,7938,539,104,289,43,defective
3,3,980,539,146,97,3,clean
1,1,1424,539,154,1424,0,defective
1,1,409,539,39,409,0,clean
2,2,296,539,81,76,2,clean
2,2,462,539,71,232,1,defective
4,4,7,539,42,95,78,clean
1,1,1731,539,172,1731,0,defective
1,1,1731,539,172,1731,0,defective
1,1,5760,539,1839,96,60,clean
2,2,1731,539,174,868,0,defective
1,1,1731,539,172,1731,0,defective
2,2,2238180,539,126,856,856,clean
2,2,24681823,539,746,6259,6259,clean
3,3,310337,539,249,1731,1712,clean
1,1,1424,539,154,1424,0,defective
1,1,1424,539,154,1424,0,defective
6,6,1034,539,138,408,13,defective
1,1,4,539,22,4,0,clean
5,5,1731,539,179,373,11,defective
2,2,23,539,102,14,3,defective
1,1,1136,539,148,1136,0,defective
1,1,143,539,150,143,0,clean
4,4,1034,539,125,375,14,defective
1,1,1731,539,172,1731,0,defective
2,2,608,539,83,154,168,defective
1,1,126,539,40,21,6,clean
1,1,10878,539,198,147,74,clean
2,2,1150,539,149,589,3,defective
2,2,23,539,30,11,2,clean
1,1,70,539,52,14,5,clean
1,1,1424,539,154,1424,0,defective
2,2,8,539,53,8,1,clean
1,1,1731,539,172,1731,0,defective
1,1,1731,539,172,1731,0,defective
6,6,468,539,119,418,12,defective
1,1,4,539,66,2,2,clean
1,1,1936,539,341,88,22,clean
1,1,80,539,106,10,8,clean
1,1,810,539,186,46,14,defective
2,2,24681823,539,746,6259,6259,clean
1,1,173,539,108,136,0,defective
2,2,600,539,74,549,0,defective
1,1,171468,539,23,97,866,clean
2,2,15,539,25,8,0,clean
1,1,813,539,59,399,0,clean
1,1,4,539,2,0,4,clean
1,1,14,539,9,14,1,clean
1,1,1296,539,0,36,36,clean
1,1,29,539,12,29,1,clean
1,1,1296,539,0,36,36,clean
1,1,1296,539,0,36,36,clean
1,1,4104,539,191,114,36,clean
4,4,1282,1366,65,49,64,defective
9,9,9,1366,320,12,4,clean
6,6,399,1366,60,39,24,defective
1,1,27,1366,65,9,3,clean
10,10,132,1366,28,61,24,defective
1,1,56,1366,64,4,4,clean
39,39,21,1366,0,81,5,defective
1,1,5,1366,0,5,0,clean
3,3,163,1366,18,91,26,defective
4,4,100,1366,96,47,47,defective
8,8,405,1366,41,42,21,defective
4,4,81,1366,37,140,15,clean
7,7,54,1366,65,30,24,defective
10,10,10,1366,156,29,25,defective
2,2,265,1366,21,120,88,clean
13,13,102,1366,28,40,34,defective
15,15,55,1366,26,58,44,defective
15,15,11,1366,28,49,83,defective
2,2,50,1366,1,5,10,clean
5,5,74,1366,1,12,10,clean
16,16,88,1366,125,65,49,defective
12,12,11,1366,69,18,20,defective
4,4,122,1366,66,49,40,clean
18,18,109,1366,78,34,29,defective
4,4,58,1366,60,45,46,defective
7,7,147,1366,60,41,12,defective
7,7,427,1366,62,73,35,defective
6,6,6480,1366,44,117,83,defective
2,2,61,1366,0,62,0,clean
18,18,620,1366,40,52,28,defective
3,3,161,1366,160,69,56,defective
6,6,120,1366,51,74,46,defective
2,2,46,1366,110,57,57,defective
8,8,2,1366,47,31,31,defective
20,20,48,1366,56,50,33,defective
2,2,378,1366,6,10,6,clean
1,1,1,1366,26,1,1,clean
15,15,87,1366,677,1570,1084,defective
7,7,15,1366,230,135,12,clean
2,2,2132,1366,406,1457,1478,defective
12,12,62,1366,343,65,18,defective
1,1,9,1366,707,3,3,clean
7,7,972,1366,521,20,439,clean
1,1,1155,1366,311,55,21,clean
1,1,378,1366,58,27,14,clean
11,11,15,1366,120,94,135,defective
3,3,76,1366,60,49,1,clean
2,2,15,1366,81,20,3,clean
3,3,200,1366,50,40,51,clean
1,1,1,1366,0,1,1,clean
1,1,8360,1366,359,95,88,clean
18,18,270,1366,230,56,168,defective
1,1,674,1366,152,2123,0,clean
2,2,7979,1366,144,155,104,clean
2,2,255,1366,409,2049,2,defective
1,1,65,1366,329,13,5,clean
7,7,212,1366,327,525,8,clean
3,3,2663,1366,1816,63,44,clean
1,1,350,1366,124,14,25,clean
6,6,361,1366,294,20,23,clean
1,1,2,1366,2256,2,1,clean
2,2,7979,1366,144,155,104,clean
7,7,40,1366,103,74,39,defective
1,1,6,1366,296,3,2,clean
3,3,335,1366,440,1416,1,defective
3,3,3,1366,13,0,8,clean
3,3,2245,1366,34,98,50,defective
3,3,2245,1366,34,97,49,defective
3,3,2245,1366,34,98,49,defective
3,3,2245,1366,34,98,50,defective
1,1,177560,1366,132,460,386,clean
1,1,361,1366,81,19,19,clean
1,1,2,1366,445,2,1,clean
3,3,103,1366,266,24,9,clean
3,3,125,1366,758,36,18,clean
16,16,246,1366,913,313,353,defective
1,1,87,1366,215,87,0,clean
5,5,2089,1366,425,535,527,defective
3,3,35,1366,713,1456,0,clean
3,3,218,1366,74,20,7,defective
1,1,435,1366,502,435,1,clean
6,6,695,1366,97,77,41,defective
1,1,784,1366,211,28,28,clean
8,8,38,1366,218,72,8,clean
5,5,284,1366,302,709,15,defective
2,2,700,1366,341,67,103,clean
1,1,332,1366,204,332,0,defective
3,3,442,1366,43,63,32,clean
6,6,26,1366,67,12,5,defective
1,1,15,1366,62,100,0,clean
15,15,16,1366,36,75,38,defective
3,3,56,1366,1,33,8,defective
1,1,64,1366,6,8,8,clean
1,1,1,1366,118,1,1,clean
4,4,983,1366,52,71,26,defective
1,1,234,1366,91,39,6,clean
1,1,396,1366,297,22,18,clean
1,1,1155,1366,91,165,7,clean
2,2,32,1366,12,7,3,clean
1,1,36,1366,191,6,6,clean
4,4,166,1366,95,192,7,clean
1,1,7,1366,175,7,1,defective
14,14,20,1366,22,55,38,defective
1,1,1155,1366,91,165,7,clean
2,2,89,1366,58,36,50,clean
1,1,8,1366,119,2,4,clean
2,2,23392,1366,837,559,657,defective
1,1,900,1366,247,30,30,clean
1,1,2304,1366,135,48,48,clean
1,1,2304,1366,135,48,48,clean
1,1,900,1366,247,30,30,clean
1,1,5100,1366,459,85,60,clean
2,2,30,1366,135,31,25,clean
1,1,140,1366,282,14,10,clean
1,1,37728,1366,251,288,131,clean
2,2,48,1366,162,11,53,clean
3,3,2245,1366,34,99,50,defective
10,10,34,1366,319,398,389,defective
4,4,378,1366,48,246,236,defective
2,2,2,1366,189,2,2,clean
2,2,89,1366,58,36,50,clean
16,16,46,1366,41,25,29,defective
1,1,234,1366,484,0,234,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,1472,1366,46,64,23,clean
1,1,1472,1366,46,64,23,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
1,1,172323956,1366,6482,16069,10724,clean
