@relation 'dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R3,5-6,8'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
4,4,13,223,56,232,122,defective
6,6,266,1577,596,3905,72,defective
5,5,34,186,62,26,4,defective
6,6,123,192,139,20,12,clean
1,1,4,177,592,4,0,clean
1,1,4,213,2,4,0,clean
1,1,24,213,0,6,4,clean
1,1,11,223,0,0,11,clean
2,2,3,192,0,0,1,clean
2,2,66,177,0,68,0,clean
1,1,14,213,0,14,0,clean
1,1,238,213,0,17,14,clean
1,1,2295,213,10,51,45,clean
1,1,2295,213,10,51,45,clean
2,2,4,213,327,18,18,clean
1,1,54,223,223,9,6,clean
8,8,21,213,367,14,22,defective
20,20,147,223,128,33,10,defective
5,5,28,1577,70,12,4,clean
2,2,34,186,185,2,195,clean
4,4,556,192,163,178,113,clean
5,5,1,177,242,14,10,defective
1,1,1,213,178,1,1,clean
1,1,47670,213,567,210,227,defective
2,2,3,186,591,2,0,clean
1,1,33,213,178,11,3,clean
2,2,276,223,189,48,9,clean
3,3,1,213,63,5,0,clean
2,2,17280,223,96,273,73,clean
2,2,1501,1577,180,758,0,clean
1,1,172860,186,404,1005,172,defective
2,2,768,192,142,384,0,clean
1,1,5,177,133,5,0,clean
1,1,144,213,555,18,8,defective
1,1,154,223,568,22,7,defective
1,1,31759,213,321,349,91,clean
1,1,261057,213,102,503,519,clean
1,1,177,1577,6,88,592,defective
2,2,36,213,222,6,10,clean
1,1,1,223,942,1,1,defective
1,1,1,186,842,1,0,defective
1,1,736,177,1112,32,23,clean
1,1,1248,213,190,48,26,clean
1,1,231,213,60,21,11,clean
1,1,3053,213,96,71,43,defective
1,1,227,213,34,227,0,defective
1,1,7878,213,149,101,78,clean
1,1,7878,213,149,101,78,clean
1,1,648,213,91,36,18,clean
1,1,38,213,0,19,2,clean
1,1,7705,213,6,65,35,clean
1,1,1470,213,55,35,42,defective
1,1,5720,213,111,104,55,clean
1,1,2,213,0,2,0,clean
1,1,551,213,8,29,19,clean
1,1,551,213,8,29,19,clean
1,1,551,213,8,29,19,clean
1,1,1288,213,50,68,65,defective
1,1,49,213,284,7,7,defective
1,1,24,186,289,12,2,clean
1,1,55,213,286,11,5,clean
2,2,168,213,92,29,26,clean
2,2,12,223,0,15,2,clean
1,1,73,186,7,73,0,clean
1,1,40,213,49,10,4,clean
1,1,870,213,0,30,29,clean
1,1,10,213,42,7,1,clean
1,1,31759,213,168,175,46,clean
1,1,1,213,0,1,1,clean
1,1,40,186,0,40,1,clean
1,1,2,213,134,2,0,clean
2,2,64,213,482,267,0,clean
1,1,36,213,205,9,4,clean
4,4,26,223,21,20,6,clean
1,1,190,1577,0,10,19,clean
2,2,142,186,193,38,35,defective
1,1,1,192,314,0,1,clean
3,3,10,177,226,629,218,defective
1,1,112,213,0,16,7,clean
1,1,625,1577,0,25,25,clean
1,1,12,213,0,3,4,clean
1,1,390,213,225,13,30,clean
1,1,550,213,23,11,50,clean
2,2,16,213,152,8,3,defective
1,1,11,223,286,0,11,clean
1,1,18,1577,292,18,0,defective
1,1,918,192,69,51,18,defective
6,6,1611,213,132,155,163,defective
1,1,3721,223,168,61,61,clean
2,2,175,192,35,32,75,clean
1,1,12,213,45,12,0,defective
1,1,49770,223,127,451,79,defective
1,1,6,186,52,6,0,clean
1,1,446,192,72,446,0,defective
1,1,9,177,63,3,3,clean
1,1,25,213,104,5,5,defective
1,1,480,223,104,15,32,clean
2,2,1,213,28,6,2,defective
1,1,27,223,52,12,17,clean
1,1,870,1577,3,10,87,defective
1,1,30,213,110,3,10,clean
1,1,18,213,70,11,13,clean
1,1,5,213,49,5,1,clean
1,1,24,213,147,12,2,clean
2,2,2,213,94,2,1,clean
3,3,2,223,87,2,0,clean
1,1,8100,186,2,90,90,defective
1,1,3,192,118,3,1,clean
2,2,2,213,58,0,6,clean
1,1,125,223,55,217,142,defective
3,3,71,186,66,43,2,defective
1,1,21,177,64,7,3,clean
1,1,24,213,147,12,2,clean
1,1,1850,213,134,1850,0,clean
1,1,20520,213,41,190,108,clean
2,2,304,213,0,10,11,clean
1,1,1,223,0,1,1,clean
1,1,35,1577,0,5,7,clean
3,3,1,186,0,2,2,clean
3,3,4,177,0,2,3,clean
1,1,1248,213,190,48,26,clean
1,1,111,213,0,111,0,clean
1,1,1248,213,190,48,26,clean
1,1,188,213,3,72,2,defective
1,1,1260,213,17,30,42,clean
1,1,14,213,0,14,1,clean
1,1,289,213,74,125,48,defective
1,1,227,213,34,227,0,defective
1,1,15,213,0,0,15,clean
1,1,20520,213,41,190,108,clean
1,1,31759,213,321,349,91,clean
1,1,31759,213,321,349,91,clean
1,1,38,213,0,0,38,clean
1,1,38,213,0,0,38,clean
1,1,38,213,0,0,38,clean
1,1,38,213,0,0,38,clean
1,1,38,213,0,0,38,clean
1,1,38,213,0,0,38,clean
1,1,38,213,0,0,38,clean
1,1,38,213,0,0,38,clean
1,1,38,213,0,0,38,clean
1,1,8,213,283,2,1,clean
5,5,3,186,178,17,1,clean
2,2,6,177,103,400,0,clean
1,1,36,213,37,27,1,clean
2,2,3,223,77,10,11,clean
9,9,59,213,152,14,34,defective
6,6,10,223,147,6,2,defective
11,11,37,1577,179,144,6,defective
7,7,57,186,217,24,4,defective
14,14,281,192,175,77,24,defective
14,14,16,177,216,154,60,defective
1,1,7,213,0,1,7,clean
1,1,40,213,49,10,4,clean
1,1,40,213,49,10,4,clean
2,2,10607,1577,27,5307,1,clean
1,1,37,213,714,37,0,clean
1,1,190992,223,758,692,276,clean
4,4,8781,186,884,174,110,defective
2,2,651,192,917,188,91,clean
1,1,324384,177,853,496,654,clean
1,1,14,213,241,7,2,clean
1,1,760,186,216,40,19,clean
1,1,2,192,313,2,0,clean
1,1,5,177,131,0,5,clean
1,1,15,213,0,0,15,clean
1,1,4,213,114,2,2,clean
5,5,29,213,466,78,4,clean
2,2,1,223,381,1,2,clean
5,5,109,1577,476,105,98,defective
1,1,5106,186,316,74,69,defective
3,3,3342,192,173,194,97,defective
